"gene","M-F_log2ratio","pval","chr","human_ortholog"
"LOC713398",0.170222656446954,0.145678386277723,"19","ZNF233"
"ZNF599",0.170122073751064,0.230805587520318,"19","ZNF599"
"NMRAL1",0.167218900865132,0.31647588207616,"20","NMRAL1"
"WWC3",0.167025901879771,0.318610125926157,"X","WWC3"
"STAT1",0.166869488877295,0.0505796179867006,"12","STAT1"
"MMP16",0.166788904180164,0.481503264304514,"8","MMP16"
"NUDT5",0.165275302221585,0.131385064875265,"9","NUDT5"
"LOC719736",0.164542543339557,0.0497739797821453,"19","DDA1"
"SLC25A3",0.163926352741838,0.155538711859477,"11","SLC25A3"
"ASB2",0.163003956602922,0.117211396541926,"7","ASB2"
"LOC722061",0.162803612511691,0.0119686784550934,"3","PTTG1IP"
"H1F0",0.162446550138938,0.271788219766456,"10","H1F0"
"LRRC17",0.16204849446266,0.0130916250137014,"3","LRRC17"
"LOC709587",0.161709262651825,0.0030282054756825,"7",NA
"LOC698788",0.161578383167588,0.128325074956281,"5",NA
"CKAP2",0.1611107633019,0.135209508461262,"17","CKAP2"
"LOC100429729",0.160815010829678,0.224595731610081,"19","ZNF136"
"TEX15",0.160754159084309,0.36955300263852,"8","TEX15"
"LCP1",0.160667025473309,0.0887549464343944,"17","LCP1"
"LOC721561",0.160523166154497,0.179259713103102,"11",NA
"CD81",0.160353875220931,0.115681168658208,"14","CD81"
"MRPS10",0.16034906236572,0.0168281773600958,"4","MRPS10"
"NDST3",0.160056174929285,0.131250362121019,"5","NDST3"
"ZFAND2A",0.159964363313752,0.0148600573815076,"3","ZFAND2A"
"MRPL50",0.159151657436559,0.0645140827924497,"15","MRPL50"
"TPI1",0.158717376141285,0.1439700748197,"11",NA
"LOC100423915",0.158599294548951,0.292806885639943,"13",NA
"RCBTB2",0.157769505579821,0.165567873104007,"17","RCBTB2"
"LOC718635",0.156803422386077,0.145976092067435,"3","ARPC1A"
"LOC709463",0.156432542628956,0.022200375137721,"1","TSPAN2"
"LYRM9",0.156194489199628,0.0443498450601307,"16","LYRM9"
"CHTOP",0.156102266711637,0.0224758562512462,"1","CHTOP"
"USP46",0.154512168969531,0.0560801203669394,"5","USP46"
"PDHB",0.154447177298954,0.0358161604563881,"2","PDHB"
"FEM1A",0.153830801305621,0.00771780982361592,"19","FEM1A"
"LOC696657",0.153006134305985,0.0761696549437355,"X","PPID"
"FLRT2",0.152653632482608,0.165146248328467,"7","FLRT2"
"LOC705778",0.15261820181037,0.140809147539705,"10",NA
"P2RY1",0.152463839997126,0.197658711622395,"2","P2RY1"
"LOC707802",0.152453400367291,0.0717260681344201,"1","TMEM69"
"TAF6",0.151741364902942,0.0463608694079707,"3","TAF6"
"LMO2",0.15138204538227,0.0308527021627798,"14","LMO2"
"STK24",0.151333170636371,0.169105414774659,"17","STK24"
"LOC708964",0.151264239229661,0.299081701434366,"9","COX15"
"GALP",0.150966365586106,0.263265711787117,"19","GALP"
"PPID",0.150189878532803,0.255070524480631,"5","PPID"
"ASRGL1",0.149106673724584,0.0699127093953547,"14","ASRGL1"
"MFSD1",0.148982479855444,0.0885849267984851,"2","MFSD1"
"LOC708395",0.148889876339935,0.193278818953577,"17","FAM124A"
"LOC721178",0.148673381615623,0.318410447108585,"19","POLR2E"
"IFI16",0.148499113292647,0.209805890713573,"1","IFI16"
"APLNR",0.147786204389318,0.00330719689271675,"14","APLNR"
