"gene","M-F_log2ratio","pval","chr","human_ortholog"
"LOC711633",0.0456162115845125,0.1976216521981,"11","ZC3H10"
"ACTN2",0.0456082090929059,0.527863047723479,"1","ACTN2"
"IL11RA",0.0455874695183546,0.374214251808037,"15","IL11RA"
"CDK1",0.0455568194389815,0.368926286442406,"9","CDK1"
"CGRRF1",0.0455525460674682,0.564023807519852,"7","CGRRF1"
"LOC708716",0.0455494997709888,0.617535674664627,"11","ARF3"
"CTR9",0.0455290218874768,0.308460298565211,"14","CTR9"
"MYH7",0.0455249834606435,0.694503675909133,"7",NA
"NPTX2",0.0455231549482807,0.595320557445441,"3","NPTX2"
"MANSC1",0.0454944020594705,0.478651114789797,"11","MANSC1"
"PABPC1",0.0454941178020812,0.718720162297782,"8","PABPC1"
"USP25",0.045481078262046,0.444777790886427,"3","USP25"
"GSTZ1",0.0454595940819235,0.664154644056221,"7","GSTZ1"
"BOLA3",0.0454570421031246,0.254588558813318,"13","BOLA3"
"ABCB6",0.0454318289807304,0.332373852970444,"12","ABCB6"
"CYFIP1",0.0454219321687098,0.192269194406467,"7","CYFIP1"
"NONO",0.0453722323339202,0.259765973651765,"X","NONO"
"COG5",0.0453119317267282,0.239644041949628,"3","COG5"
"NOP9",0.0453034704206456,0.19506507949054,"7","NOP9"
"CCT8",0.0453000742163606,0.306892640941176,"3","CCT8"
"TPH1",0.0452285426199568,0.311900612974254,"14","TPH1"
"ENOPH1",0.0452221566289554,0.433615605689348,"9","ENOPH1"
"LOC722050",0.0452206223296224,0.637508280669423,"13","ADI1"
"OSBPL2",0.0451972676612657,0.381121789514791,"10","OSBPL2"
"ACOT2",0.0451765692163788,0.841551558906054,"7","ACOT2"
"KANK2",0.0451680603229228,0.440424831741827,"19","KANK2"
"BIRC5",0.045157844341488,0.448701220707657,"16","BIRC5"
"PSMD3",0.045135823597182,0.423628804060806,"16","PSMD3"
"THAP8",0.0451350293140655,0.207619793122438,"19","THAP8"
"BCL2L1",0.0451162281303245,0.294829644980801,"10","BCL2L1"
"ARL11",0.0451083956743519,0.175562133176977,"17","ARL11"
"FTSJ3",0.0451044525791016,0.350514970668973,"16","FTSJ3"
"PI4K2A",0.045100786689952,0.300297158384645,"9",NA
"LOC715130",0.0450333242838593,0.243621792338135,"16","ZNF830"
"LOC100423462",0.0450325577116018,0.634119586724939,"9",NA
"FAM5B",0.045027393902839,0.493915006643947,"1","FAM5B"
"TSPAN33",0.0450258033236321,0.297813511729937,"3","TSPAN33"
"HS3ST5",0.0450130489483411,0.614326649103771,"4","HS3ST5"
"UNC13B",0.0450120714925814,0.511250723846086,"15","UNC13B"
"NIF3L1",0.0450059317527598,0.325043698190636,"12","NIF3L1"
"SCARB1",0.0449975503436199,0.411201078005657,"11","SCARB1"
"LAMA1",0.0449860272286926,0.340779294659292,"18","LAMA1"
"APBB1IP",0.0449836388370677,0.566483238095178,"9","APBB1IP"
"CCDC17",0.0449710416427935,0.0941537237542203,"1","CCDC17"
"LOC705622",0.0449595080786483,0.0669591019700823,"11","CNBP"
"ZMYM2",0.0449328245371752,0.674639269918228,"17","ZMYM2"
"B4GALT7",0.0449204350173271,0.155904867868365,"6","B4GALT7"
"LOC696056",0.0449108563706095,0.52975485801759,"11",NA
"TMEM176A",0.0448874641094951,0.215091810566924,"3","TMEM176A"
"LOC693884",0.0448662215068342,0.42337467599774,"1","C1orf87"
"TMEM126A",0.044843549386676,0.474456770561656,"14","TMEM126A"
"ANAPC15",0.0448349428858455,0.474212015094355,"14","ANAPC15"
"WDR18",0.0448316345243143,0.430165372393425,"19","WDR18"
"NOS1",0.0448270141367092,0.199147292125391,"11","NOS1"
"PTPRA",0.0448004694373918,0.380639126146225,"10","PTPRA"
"MRPS12",0.0447941157003412,0.578444915043391,"19","MRPS12"
"PLTP",0.0447923364887065,0.336518352805585,"10","PLTP"
"APBB3",0.0447891901077865,0.430064435393395,"6","APBB3"
"PRKAA2",0.0447800241609866,0.655903028987431,"1","PRKAA2"
"EEF1D",0.0447720144412998,0.489499628677567,"11","EEF1D"
"MEPCE",0.0447627981587796,0.324247349694311,"3","MEPCE"
"RCN2",0.044761752619597,0.603667517042767,"7","RCN2"
"FEZ1",0.0447563373380369,0.635036901470858,"14","FEZ1"
"LOC100429055",0.0447020827210755,0.759362170122,"14",NA
"SETD8",0.044701328992482,0.274227161262733,"11","SETD8"
"CDR2L",0.0446831196568572,0.254052435128831,"16","CDR2L"
"LOC701052",0.0446685102570055,0.22809785568214,"9",NA
"R3HCC1",0.0446546735572251,0.294439269056883,"8","R3HCC1"
"AKR7A3",0.0446414940379746,0.309006455486301,"1",NA
"MAMDC2",0.0446371787654786,0.410747061180582,"15","MAMDC2"
"MSH6",0.0446241754602307,0.316570275012869,"13","MSH6"
"RUFY3",0.0445950835841302,0.415646836497489,"5",NA
"CCDC86",0.0445920321615074,0.237766067396036,"14","CCDC86"
"CAP2",0.0445587886516115,0.363498178516651,"4","CAP2"
"ATG2A",0.0445208903110717,0.181950227280104,"14","ATG2A"
"STK17B",0.0445127695126596,0.571309542959534,"12","STK17B"
"MCRS1",0.0444976820990855,0.383281921788453,"11","MCRS1"
"NCOA6",0.0444758533680469,0.191542651185248,"10","NCOA6"
"ZNF141",0.0444732565658473,0.188231124627996,"1","ZNF141"
"APOM",0.0444655482569828,0.462542374114134,"4","APOM"
"LOC721732",0.0444589813515402,0.274990469192454,"19","TBXA2R"
"HELLS",0.0444408144038557,0.624050195328458,"9","HELLS"
"ABHD16A",0.0444064488005833,0.294587963788985,"4","ABHD16A"
"FLNA",0.0443971508600037,0.32041493493429,"X","FLNA"
"LOC100423804",0.0443893319607583,0.321471617900535,"20",NA
"CD2AP",0.0443854340432111,0.50957158240876,"4","CD2AP"
"LHX9",0.04437591527781,0.588971036368118,"1","LHX9"
"PI4KA",0.0443521192493863,0.541638772608533,"10","PI4KA"
"FANK1",0.0442915971649223,0.43713761136368,"9","FANK1"
"LOC699642",0.0442913139609412,0.217771019765067,"X","HDAC8"
"LOC717024",0.044288572950444,0.476944802244148,"1",NA
"FAM165B",0.0442708258816167,0.00802116405911568,"3","FAM165B"
"LOC707948",0.0442528130983616,0.51657497577934,"17","SIAH3"
"NAGK",0.0442524062156715,0.468763307736117,"13","NAGK"
"TMED5",0.0442344705277743,0.143902006019297,"1","TMED5"
"AMIGO1",0.0442285682952349,0.432941943869118,"1","AMIGO1"
"LOC100428434",0.0442268677778255,0.27717412175609,"10",NA
"LINGO2",0.0442160063512238,0.662680971289666,"15","LINGO2"
"LOC701147",0.0441774854745908,0.460527651861244,"19",NA
"NFE2L1",0.0441675370704933,0.145932058615868,"16","NFE2L1"
"FAM113A",0.0441157464364363,0.185623106046239,"10","PCED1A"
"ARPC3",0.0441134963089476,0.450382548026004,"4",NA
"CBR1",0.0441071094255582,0.30124536857207,"3","CBR1"
"SGOL1",0.0440931966307235,0.517077862758454,"2","SGOL1"
"PAGR1",0.0440758655723349,0.517485485530351,"20","PAGR1"
"LOC716850",0.0440707025140613,0.200479160272646,"1",NA
"PIGT",0.0440443554181888,0.128726928273691,"10","PIGT"
"ZMIZ2",0.0440182659808805,0.541060744491137,"3","ZMIZ2"
"WNT10B",0.044009908874067,0.535510386721142,"11","WNT10B"
"LOC712067",0.0440029765151238,0.402731987609423,"3","PPP1R35"
"LOC695986",0.0439643280026176,0.340648869358393,"16","TRPV2"
"ADAMTS9",0.0439464838879943,0.523068424743309,"2","ADAMTS9"
"LOC712742",0.0439110522324142,0.585604496098731,"20","NDRG4"
"LOC711448",0.0438890597323697,0.185601988738305,"11",NA
"TCP1",0.0438887782762845,0.274025983116405,"4","TCP1"
"LOC705387",0.0438817951253268,0.742768047191997,"11",NA
"SDF2L1",0.0438699202044135,0.415583049037294,"10","SDF2L1"
"POLDIP2",0.0438668847204979,0.41535807154857,"16","POLDIP2"
"LOC722479",0.0438610689109163,0.526740157053447,"20","NME3"
"RGMA",0.0438593806918713,0.242339687356774,"7","RGMA"
"FKBPL",0.0438460245150741,0.235843163045944,"4","FKBPL"
"KLHL1",0.0438268365983436,0.632379238795764,"17","KLHL1"
"RPS13",0.043769247746045,0.272380895373584,"14","RPS13"
"LLGL1",0.0437659626988897,0.441608257191032,"16","LLGL1"
"PLCB4",0.0437622702854277,0.327065540883212,"10","PLCB4"
"GRB10",0.0437484906416197,0.460735342462535,"3","GRB10"
"USP21",0.0437428526689536,0.366823878056404,"1","USP21"
"PREX1",0.0437084714201266,0.285708883485078,"10","PREX1"
"PVRL1",0.0436891797727654,0.409556939263673,"14","PVRL1"
"ZCCHC14",0.0436839698665921,0.488477593653873,"20","ZCCHC14"
"MARK3",0.0436747680833577,0.177817534897171,"7","MARK3"
"LOC710700",0.0436342595432896,0.416575407070016,"11",NA
"SNAPC4",0.0436193524229212,0.184832672541787,"15","SNAPC4"
"LRRFIP1",0.0435843690821151,0.398863817066354,"12","LRRFIP1"
"LOC715208",0.0435421693757488,0.361843099716603,"9",NA
"LOC715339",0.0435224492458934,0.555126279164008,"11",NA
"MTMR14",0.0435117650094195,0.304893570954761,"2","MTMR14"
"MKL2",0.0435046651489374,0.652339053154103,"20","MKL2"
"ESAM",0.0435014203941313,0.0445963358871352,"14","ESAM"
"SEC11A",0.0434976368440935,0.262355602572379,"7","SEC11A"
"LOC712426",0.0434871110009788,0.409775222105886,"7","APBA2"
"RAB18",0.0434762799190793,0.609845949769695,"9","RAB18"
"ABCA9",0.0434504747050062,0.0790648501533351,"16","ABCA9"
"HSP90AA1",0.0434244245286526,0.217398943060884,"7","HSP90AA1"
"TPP2",0.0434221389218721,0.460131388834831,"17","TPP2"
"PLS1",0.0433961158449801,0.21943411996387,"2","PLS1"
"FAM109B",0.0433821904267117,0.383479922485723,"10","FAM109B"
"PTBP1",0.0433707189261071,0.473184355519228,"19","PTBP1"
"RASEF",0.0433699519353955,0.334904187334712,"15","RASEF"
"GABARAPL1",0.0433619820334266,0.570050264144042,"11","GABARAPL1"
"LOC714408",0.0433588625296556,0.488449201118979,"13","AFF3"
"STMN4",0.0433585774613091,0.68483365026141,"8","STMN4"
"ST7L",0.0433510460464583,0.48280405069155,"1","ST7L"
"LOC699426",0.043350338946564,0.532695695704726,"3",NA
"SNX17",0.0433454292356987,0.389387729528254,"13","SNX17"
"PLAC8",0.0433438764864957,0.815424760503191,"5","PLAC8"
"LOC704061",0.0433226689014037,0.194863243528472,"6",NA
"LOC711412",0.0433129101919019,0.396937320830867,"14",NA
"PRKAR1B",0.0433086212625508,0.43367649672238,"3",NA
"LOC715535",0.0432788364318921,0.671234806727119,"20","VAT1L"
"CNIH",0.0432704139841244,0.511139479037131,"7","CNIH"
"LOC699530",0.0432703809326833,0.188175368786159,"10",NA
"TMEM59L",0.0432446301500393,0.549047232260381,"19","TMEM59L"
"AGPAT1",0.0432301754776492,0.344705325600194,"4","AGPAT1"
"AK2",0.04322802529161,0.652560156727773,"1","AK2"
"TTC27",0.0431952986730163,0.283592081662902,"13","TTC27"
"LMBR1L",0.0431892626233716,0.414696751886488,"11","LMBR1L"
"LOC707010",0.0431652750213082,0.536826723166315,"11",NA
"RPTOR",0.0431596775206713,0.450301341483774,"16","RPTOR"
"ZNF214",0.0431513562698985,0.0845122684861859,"14","ZNF214"
"INSR",0.0431422771774891,0.638406995490537,"19","INSR"
"TXNDC17",0.0431176718963079,0.50597971359611,"16","TXNDC17"
"SCML1",0.0431150617160194,0.509515735202849,"X","SCML1"
"NDUFAB1",0.0430886476668275,0.523435790401911,"20",NA
"PDIA3",0.0430851236404272,0.283265777769857,"7","PDIA3"
"LOC709604",0.0430831953044984,0.42712892148594,"11","CS"
"LOC718430",0.0430673964295043,0.642533671193609,"4","TTK"
"AXIN1",0.0430369673998663,0.249875708050155,"20","AXIN1"
"LOC712594",0.0430204335836875,0.494737701013158,"20","PRR14"
"EEF1B2",0.0429923689465879,0.445017760046673,"12","EEF1B2"
"TRAF3IP2",0.0429747280134115,0.394614522973412,"4","TRAF3IP2"
"PSMC3",0.0429680848922183,0.606860947288266,"14","PSMC3"
"MAN1C1",0.0429324265999227,0.413580109238306,"1","MAN1C1"
"MPV17L2",0.042917951567986,0.390890654405652,"19","MPV17L2"
"AGK",0.0429161462067428,0.28688984837207,"3","AGK"
"DLGAP5",0.0428987880195637,0.561040867996602,"7","DLGAP5"
"G2E3",0.042877198083818,0.513149075426088,"7","G2E3"
"ZP2",0.0428493923927631,0.285297290774103,"20","ZP2"
"WDR83",0.042848171049504,0.449618392694622,"19","WDR83"
"ALKBH7",0.0428391456014658,0.382796259501582,"19","ALKBH7"
"PVR",0.0428374954344251,0.237683872469826,"19","PVR"
"LOC716377",0.0428098488724092,0.479046109541538,"10","CHKB"
"COG4",0.0427871917756642,0.344766304463055,"20","COG4"
"LOC717646",0.0427752909424463,0.264109385516617,"19","ASF1B"
"LOC704829",0.0427655203650593,0.521791164549097,"2","TRIM59"
"RRP1B",0.0427546070944539,0.183552658192126,"3","RRP1B"
"ZSWIM7",0.0427414090672866,0.597075303366806,"16","ZSWIM7"
"FAM20C",0.0427389788542099,0.424894781786255,"3","FAM20C"
"BNIP3L",0.0427271927208063,0.347570532886928,"8","BNIP3L"
"LOC714477",0.0427139240969114,0.063681666057962,"10","ZCCHC3"
"SMAD7",0.0426834926576957,0.370905474326338,"18","SMAD7"
"LOC717043",0.0426819271450748,0.141509630812005,"14","SAC3D1"
"MSI1",0.0426390578180944,0.0164912529068071,"11","MSI1"
"JARID2",0.042631508861643,0.345998103422145,"4",NA
"LOC100426317",0.0426267351042531,0.366284203629073,"3",NA
"LOC704728",0.0426173798045601,0.504272581048969,"X",NA
"TICRR",0.0426102930871892,0.197284884549726,"7","TICRR"
"LOC712536",0.042599240795808,0.313086237634584,"7",NA
"SLC41A1",0.0425898983099233,0.233348054965121,"1","SLC41A1"
"SRPK3",0.0425888459048851,0.0337298705666031,"X","SRPK3"
"COX6B1",0.0425658412921231,0.474251446222398,"19","COX6B1"
"SPNS1",0.0425540371816026,0.199689702206453,"20","SPNS1"
"BAI2",0.0425485358222191,0.418502396097696,"1",NA
"ASF1A",0.0425408082091733,0.490861361235937,"4","ASF1A"
"AHR",0.0425258364672804,0.188878883816424,"3","AHR"
"ABCD4",0.0425238706802504,0.509121319932394,"7","ABCD4"
"U2AF2",0.0424928729699437,0.322152990583527,"19",NA
"LOC716501",0.04248948983404,0.414144953499889,"11",NA
"TYK2",0.0424854032428489,0.289130498086658,"19","TYK2"
"LOC696596",0.0424738238580396,0.64200937503091,"13","CCDC164"
"HES1",0.0424459796307629,0.640167314527201,"2",NA
"SNX31",0.0424393953096877,0.104826037312775,"8","SNX31"
"PTHLH",0.0423985438056018,0.346511035690355,"11","PTHLH"
"ANP32B",0.0423933421045496,0.411447689455616,"15","ANP32B"
"SDAD1",0.042319105347729,0.255136149815116,"5","SDAD1"
"FRMD5",0.0422965703309764,0.449590704032065,"7","FRMD5"
"SPG21",0.0422757452937509,0.509235457295271,"7","SPG21"
"76P",0.0422388263948593,0.50115476093229,"7","TUBGCP4"
"MYO1C",0.0422270509767654,0.285379779742506,"16",NA
"STOML2",0.0421937827833418,0.452471075433038,"15","STOML2"
"CDC42EP4",0.0421891951556517,0.417486370936809,"16","CDC42EP4"
"PIGS",0.0421763359126516,0.326454229817586,"16","PIGS"
"DNAH7",0.0421758707340161,0.261743361818405,"12","DNAH7"
"XRCC1",0.0421659678623318,0.643556429951568,"19","XRCC1"
"BAG3",0.0421518878104007,0.469905175238391,"9","BAG3"
"TLCD1",0.0421009055348575,0.290660192919727,"16","TLCD1"
"CABLES2",0.0420910047420359,0.39915251640747,"10",NA
"CTBP1",0.0420636287103025,0.315454692383644,"1","CTBP1"
"GUCD1",0.0420382039152442,0.387393666585622,"10","GUCD1"
"CTNNB1",0.0420332793486439,0.362123975619356,"2","CTNNB1"
"EZH1",0.0420224707879338,0.339171892003517,"16","EZH1"
"CHST12",0.0420063388919731,0.259781694911672,"3","CHST12"
"SLC4A8",0.0419944619678575,0.414947374321927,"11","SLC4A8"
"LOC717773",0.0419928536569667,0.507720885848483,"2","TRAK1"
"WDR37",0.0419904936161109,0.413326182620498,"9","WDR37"
"TUBA1B",0.0419719853938506,0.535715807746887,"11","TUBA1B"
"LOC695816",0.0419689999757167,0.733162414266634,"20","RNPS1"
"LAP3",0.0419568260496295,0.453634660835476,"5","LAP3"
"OSBPL5",0.0419402040319979,0.368933188742762,"14","OSBPL5"
"ERMP1",0.0419353565835004,0.508755159756646,"15","ERMP1"
"DCLK1",0.0419299351388179,0.749160343864699,"17",NA
"SLCO1A2",0.0419212808148426,0.624252276060082,"11","SLCO1A2"
"MYL6",0.0419211007122836,0.462716117238223,"11","MYL6"
"PAK2",0.0419023495729764,0.45899961644223,"2","PAK2"
"PHC1",0.0418854916117903,0.502587655947805,"11","PHC1"
"PYCR1",0.0418756445278138,0.282545026500628,"16","PYCR1"
"KCNN1",0.0418748387191017,0.337970592706499,"19",NA
"LOC100425653",0.0418654098157385,0.570832606508343,"X",NA
"MAP2K6",0.0418466583417969,0.637288477470907,"16","MAP2K6"
"ATG5",0.0418454443529109,0.168370466285161,"4","ATG5"
"RASGRP2",0.041843768840031,0.581949761701462,"14","RASGRP2"
"EMD",0.0418400691074662,0.123726418577251,"X","EMD"
"LOC707463",0.0418259607181574,0.361478915050714,"19","CIC"
"ATP6V0A1",0.0418188764078444,0.455761463294357,"16","ATP6V0A1"
"ZNF280C",0.0418182008917676,0.375070853440997,"X","ZNF280C"
"ZNF440",0.0418129495280814,0.0799173977908778,"19",NA
"RBM4B",0.0417946607755224,0.436178691604157,"14","RBM4B"
"CKAP2L",0.0417934632979235,0.462121130663307,"13","CKAP2L"
"EIF2C4",0.0417449736353758,0.513131040413709,"1","EIF2C4"
"LOC719751",0.0417370110785912,0.283982962576019,"16","METRNL"
"MRPS18B",0.041735774062569,0.36543474301677,"4","MRPS18B"
"NOL12",0.0417319408037371,0.385996697175615,"10","NOL12"
"LOC706051",0.0417297780165512,0.463903650096414,"13","MEMO1"
"EGFL7",0.0417248666146415,0.45331168213534,"15","EGFL7"
"ANKRD11",0.0417226876434945,0.362568204972707,"20","ANKRD11"
"C1H1orf158",0.0417045687963148,0.325380974076864,"1","C1orf158"
"GLRX2",0.0416901380696974,0.557950921857668,"1","GLRX2"
"LOC716173",0.0416888311187078,0.250469608096662,"19","MAN2B1"
"GLB1L",0.0416671214506005,0.337538093202429,"12","GLB1L"
"LOC697993",0.041656614215229,0.572858157127093,"7","PARP6"
"RNF8",0.0416264430138505,0.422758536459653,"4",NA
"DNMT3B",0.0416222728292659,0.326523161143131,"10","DNMT3B"
"LOC694702",0.0415869820973267,0.49822386452861,"13",NA
"LOC710283",0.0415838200185571,0.563247288556574,"X","SMIM10"
"LPHN1",0.0415802610693372,0.418148452129238,"19","LPHN1"
"ERCC3",0.0415801989151575,0.693999745493022,"13","ERCC3"
"LDLR",0.0415704768761631,0.317856137289656,"19","LDLR"
"PRPS1",0.0415483818395755,0.52948226721825,"X","PRPS1"
"PRKAA1",0.0415007919371575,0.133419384390299,"6","PRKAA1"
"C18H18orf22",0.0414990702154041,0.543362024368293,"18","RBFA"
"MARK2",0.041493831037468,0.470028247551742,"14","MARK2"
"CBLL1",0.0414839057010545,0.196783608119215,"3","CBLL1"
"ALKBH5",0.0414410703705156,0.10604646017421,"16","ALKBH5"
"DLGAP4",0.0414400673369028,0.344892031430767,"10","DLGAP4"
"ZDHHC6",0.0414391030576574,0.49201598496925,"9","ZDHHC6"
"LOC100428114",0.0414318156178991,0.113999655920583,"1",NA
"PLXDC2",0.0414282233589853,0.460351763296067,"9","PLXDC2"
"LOC703717",0.0414243700631947,0.335132399229667,"11","SETD1B"
"SAE1",0.0413867398982256,0.403571150964267,"19","SAE1"
"LRP2",0.0413446073005459,0.382893768828447,"12","LRP2"
"LOC708961",0.0413378640957947,0.322328054995286,"8","C8orf58"
"CEP72",0.0413326931130395,0.26578843261745,"6","CEP72"
"ADAR",0.0413288366324326,0.417595980724286,"1","ADAR"
"C19orf62",0.0413128438135506,0.539989118074501,"19","BABAM1"
"SPDL1",0.0413026157794894,0.540966162845601,"6","SPDL1"
"ORMDL3",0.0412909730717499,0.316100405292449,"16","ORMDL3"
"LOC706896",0.0412786750252703,0.4606367955141,"1",NA
"C9H10orf32",0.0412713053884648,0.570821358521701,"9","C10orf32"
"LGMN",0.041159056561195,0.0920079318638582,"7","LGMN"
"PDE6D",0.0411281553400324,0.537314678370632,"12","PDE6D"
"SELO",0.0411248164517928,0.451527888419681,"10","SELO"
"AIFM1",0.0411101674111274,0.509821105095509,"X","AIFM1"
"AHSA1",0.0410967663049354,0.497276910331564,"7","AHSA1"
"LOC100423696",0.0410658912248884,0.343063543396475,"14",NA
"CHD3",0.0410353721563408,0.511686146264334,"16","CHD3"
"PPP4C",0.0410108829501161,0.238573998210401,"20","PPP4C"
"PLS3",0.0409708446057316,0.499496368859153,"X","PLS3"
"LOC718396",0.0409483238267004,0.0813286835067709,"16",NA
"LOC703140",0.0409461410348991,0.659256902019294,"14","RASSF10"
"STK40",0.0409415922143313,0.280518495546735,"1","STK40"
"CLCN6",0.0409406988668259,0.394584441910322,"1","CLCN6"
"LOC716330",0.0409343351522829,0.470251932156445,"6","MARCH6"
"MLLT6",0.0409325565192091,0.459935948888629,"16","MLLT6"
"C3H7orf26",0.0409232642745448,0.350082637028874,"3","C7orf26"
"GGCX",0.0409027183847043,0.292527885748739,"13","GGCX"
"LOC100426047",0.0408980553126933,0.635909286199103,"7",NA
"LAMTOR2",0.0408805380895787,0.340813204396076,"1","LAMTOR2"
"LOC696177",0.0408742960279925,0.28020025876865,"20","LYRM1"
"KLHL22",0.0408737119559479,0.0818038682513548,"10","KLHL22"
"PDGFRL",0.0408471913591169,0.633176961483755,"8","PDGFRL"
"CTNNA1",0.0408432009193579,0.27144528937519,"6","CTNNA1"
"ATP6V0A2",0.0408390238558952,0.506658328774402,"11","ATP6V0A2"
"ZCRB1",0.0408255980520765,0.2605118468109,"11",NA
"SLC38A11",0.0408213144649843,0.180568078518379,"12","SLC38A11"
"SCPEP1",0.0408029514929462,0.524742796837467,"16","SCPEP1"
"NUB1",0.0407792364728496,0.509770345637147,"3","NUB1"
"LOC100424721",0.0407511728110493,0.433721836836174,"14",NA
"LOC100424560",0.040736538296611,0.425568438306524,"7",NA
"LOC699570",0.0407333267630289,0.557926003097712,"13",NA
"CHID1",0.0407116235044323,0.397648762163482,"14","CHID1"
"CHN1",0.0407088011540203,0.309183156359196,"12","CHN1"
"IRAK1BP1",0.0407048534743663,0.497964658518658,"4","IRAK1BP1"
"CEP110",0.0407014949809744,0.384543806880072,"15","CNTRL"
"CDC27",0.0406831072905362,0.360514475512898,"16","CDC27"
"DNAJC13",0.0406749846889267,0.24302608315582,"2","DNAJC13"
"TSPAN6",0.0406672646710093,0.729259680563202,"X","TSPAN6"
"SLITRK5",0.0406440348159202,0.579031093160294,"17","SLITRK5"
"IRF2BPL",0.0406388454629697,0.64020531572047,"7","IRF2BPL"
"UBE2O",0.0406352837309982,0.351185291670043,"16","UBE2O"
"MED12",0.0406253160621666,0.305231549825278,"X","MED12"
"ZNF326",0.0406009755729435,0.493549730805895,"1","ZNF326"
"LOC722745",0.0405755985942199,0.22422377101073,"8","ARHGEF10"
"CUTA",0.0405373113634479,0.458378963343307,"4","CUTA"
"CENPF",0.0405247374872903,0.592430524357323,"1","CENPF"
"TMEM180",0.0405045360145993,0.505935213251616,"9","TMEM180"
"ANO3",0.0404934874026389,0.658356309020877,"14","ANO3"
"POLE",0.0404875927581907,0.141438673630798,"11",NA
"LOC720390",0.0404672598873734,0.0332607718222526,"7",NA
"GOSR2",0.0404626611493973,0.154352067126744,"16","GOSR2"
"HSP90AB1",0.0403763061869965,0.246666667743142,"4","HSP90AB1"
"SHKBP1",0.0403246113203406,0.350263117839076,"19",NA
"TMPRSS5",0.040303814237061,0.350761329723935,"14","TMPRSS5"
"RBM23",0.0403009529214403,0.672216501694863,"7","RBM23"
"LOC100430672",0.0402748220912292,0.656362111540496,"6",NA
"LOC712349",0.0402140066412753,0.477305428085513,"16",NA
"POSTN",0.0401955551148107,0.495117592082258,"17","POSTN"
"CNPY3",0.0401664285546962,0.469718199917081,"4","CNPY3"
"CCNO",0.0401610551298452,0.308586335381001,"6","CCNO"
"SDR39U1",0.0401247574399695,0.666448818382054,"7","SDR39U1"
"ADAM15",0.0400796666006328,0.340082131102297,"1",NA
"LOC694190",0.0400783870985561,0.532267886309461,"17",NA
"LOC100430639",0.0400605889202346,0.662149143119586,"20",NA
"LOC701749",0.0400555886891045,0.398051088127611,"5",NA
"LOC717757",0.0400327459329734,0.458240058622686,"7",NA
"ARMCX2",0.0400249383319012,0.513958961045346,"X","ARMCX2"
"HAUS2",0.0400232313542658,0.486869669651174,"7","HAUS2"
"HNRNPUL2",0.040015721511193,0.449484459787241,"14","HNRNPUL2"
"COG8",0.0400142944163309,0.223102566826346,"20",NA
"LOC697254",0.0400065558302096,0.299907857777602,"8",NA
"LOC707341",0.040005712335605,0.408736574427736,"17","KCNRG"
"TRIM32",0.040001651575308,0.432132194781956,"15","TRIM32"
"ETAA1",0.0399980222854569,0.596533095520968,"13","ETAA1"
"LOC695836",0.0399969629860841,0.427687898790828,"1",NA
"E2F2",0.0399969277134557,0.50223498681608,"1","E2F2"
"LOC712939",0.0399707282126662,0.449482524630411,"14","CCKBR"
"LOC714417",0.0399586076797599,0.170335597945842,"6",NA
"LOC694004",0.0399492840863952,0.379024548269164,"3","VWDE"
"CLTCL1",0.0399406591508774,0.283929335082053,"10","CLTCL1"
"LASP1",0.0399291853686558,0.414199711220724,"16","LASP1"
"ROGDI",0.0399202805471478,0.580935301729715,"20","ROGDI"
"PIANP",0.0399161327358376,0.0817689129252556,"11","PIANP"
"CAPN1",0.0399084354745977,0.279960439821503,"14","CAPN1"
"GPD1",0.0398670513771736,0.235319591442251,"11","GPD1"
"ARHGEF15",0.0398531390132852,0.0455868807981922,"16",NA
"DSCAML1",0.0398497292565654,0.442095458377759,"14","DSCAML1"
"RNF26",0.039820129396431,0.356114203789617,"14","RNF26"
"PRPF40A",0.0398198683896142,0.418284928368486,"12","PRPF40A"
"C4H6orf52",0.0398107938738824,0.841688941835691,"4","C6orf52"
"MYH9",0.0398078276812822,0.314936300149578,"10",NA
"RANGRF",0.0397851866795462,0.556021185531459,"16","RANGRF"
"SNX30",0.0397723161187915,0.504329176210815,"15","SNX30"
"KCMF1",0.0397582104624657,0.114402495735616,"13","KCMF1"
"POP5",0.039740779790059,0.507822476396867,"11","POP5"
"LOC100428419",0.0396901106927992,0.564433496207834,"17",NA
"LAMA4",0.0396783373313835,0.40514908398379,"4","LAMA4"
"LOC100426812",0.0396762709715761,0.513984568017756,"14",NA
"IMP4",0.0396537699325091,0.16535690293639,"13","IMP4"
"IPO11",0.0396455513577868,0.252562735733713,"6","IPO11"
"LOC716978",0.0396393754574319,0.767742036143964,"20","CPPED1"
"MAP4K4",0.0396359265624676,0.479365525486493,"13",NA
"MBD1",0.0396323514334577,0.422637259004748,"18","MBD1"
"LOC709084",0.0396320178735773,0.179357942715308,"9","PDZD8"
"AZI2",0.0395615841462321,0.64992797334453,"2","AZI2"
"CPLX1",0.0395199125355326,0.484882982819274,"1","CPLX1"
"EIF3D",0.0395005511072413,0.467090707125667,"10","EIF3D"
"CHMP2A",0.0394946062978674,0.55712185428848,"19","CHMP2A"
"RNF40",0.0394811704590232,0.275650563230696,"20","RNF40"
"SUPT16H",0.0394805494514872,0.410621156811677,"7",NA
"FZD9",0.0394628857705528,0.417522971455725,"3",NA
"LOC695591",0.0394582927893871,0.307335948898228,"20","PGP"
