"age","gene_acronym","DPall","MPall","SPall","p2A"
"E15.5","Mxi1",0.0654198,0.070433,0.0652708,0.180461
"E15.5","Myb",0.0537206,0.117368,0.126114,0.0843967
"E15.5","Mybbp1a",6.31393,6.88203,8.64881,10.6727
"E15.5","Mybl1",0.157375,0.122291,0.164816,0.0920408
"E15.5","Mybl2",0.745976,0.642041,0.671984,0.444938
"E15.5","Mybpc1",0.0443703,0.0393119,0.051588,0.011479
"E15.5","Myc",0.454716,0.245508,1.21814,0.357322
"E15.5","Mycbp2",0.11076,0.36939,0.373092,0.38589
"E15.5","Mycl1",0.595107,1.12713,0.30198,0.870287
"E15.5","Mycn",0.00781544,0.00258251,0.00470759,0.0129087
"E15.5","Mycs",0.0115008,0.01349,0.0149693,0.0174365
"E15.5","Myf5",0.0284919,0.040879,0.0302694,0.00357308
"E15.5","Myf6",0.00997497,0.00437561,0.0180998,0.00254558
"E15.5","Myh10",0.695326,1.3371,0.660773,0.630155
"E15.5","Myh9",1.5859,1.30113,1.54598,1.82752
"E15.5","Mylk",0.0352154,0.0234399,0.0280362,0.0951027
"E15.5","Myoc",0.00974966,0.00992105,0.029484,0.039993
"E15.5","Myog",0.110939,0.0511147,0.116023,0.0154387
"E15.5","Myst2",0.234821,0.447456,0.277766,0.260203
"E15.5","Myt1",2.74921,6.36701,4.57951,3.6357
"E15.5","Myt1l",9.20963,3.62567,5.35189,3.43402
"E15.5","Nab1",3.3871,1.35992,1.25737,0.814339
"E15.5","Nanog",0.0062026,0.0099288,0.0108812,0.00974025
"E15.5","Ncam1",0.1735605,0.2245925,0.466195,1.131638
"E15.5","Ncam2",0.0148397,0.00799243,0.0274649,0.0390355
"E15.5","Nck2",0.723471,0.605149,0.160282,0.131681
"E15.5","Nckap1",1.04038,1.66555,0.888599,0.796258
"E15.5","Ncoa1",0.433673,1.21381,1.02517,0.237983
"E15.5","Ncoa2",0.0395017,0.0846769,0.0459572,0.0330888
"E15.5","Ncoa3",0.0222104,0.0611618,0.0569778,0.0486636
"E15.5","Ncoa6",0.0412431,0.0497253,0.0762589,0.0649317
"E15.5","Ncor1",0.830366,1.5539,0.680095,1.23079
"E15.5","Ncor2",1.12957,3.50085,1.11376,1.72732
"E15.5","Ncstn",0.0461123,0.048735,0.0241925,0.049343
"E15.5","Nde1",2.66179,1.77431,1.14597,0.748068
"E15.5","Ndel1",1.24589,1.49466,1.54903,1.80968
"E15.5","Ndst4",0.035301,0.0223743,0.249156,0.0340548
"E15.5","Necab2",0.128717,0.479588,0.055877,3.83938
"E15.5","Nefh",0.0603302,0.0661262,0.0794769,0.0222375
"E15.5","Nek7",0.0526669,0.0936263,0.0587021,0.215006
"E15.5","Neo1",4.73908,12.1058,2.14575,3.50194
"E15.5","Nes",1.89358,3.07439,0.815531,0.697014
"E15.5","Neurod1",0.522766,9.06802333333333,0.214643333333333,0.730615333333333
"E15.5","Neurod2",10.9094,4.03118,0.715668,0.673654
"E15.5","Neurod4",0.0121185,0.0231218,0.00846778,0.00979883
"E15.5","Neurod6",28.9449,17.1862,0.914466,2.19329
"E15.5","Neurog1",0.0506829,0.01701945,0.0146203,0.005787085
"E15.5","Neurog2",6.93915,11.09447,2.15644,4.07339
"E15.5","Neurog3",0.0108904,0.0231229,0.00909464,0.00888255
"E15.5","Nf1",0.0390369,0.0788137,0.0243969,0.0290106
"E15.5","Nfasc",1.49797,3.03189,0.606365,0.342182
"E15.5","Nfat5",0.516964,0.969253,0.471225,0.47911
"E15.5","Nfatc3",0.00823511,0.00868664,0.0100228,0.00255526
"E15.5","Nfatc4",0.515349,0.592642,0.845283,0.101912
"E15.5","Nfe2",0.023341,0.0202592,0.0186741,0.0182833
"E15.5","Nfe2l1",0.726779,1.79214,1.36425,1.9331
"E15.5","Nfe2l2",0.0850962,0.119607,0.0455108,0.0493399
"E15.5","Nfe2l3",3.63573,0.0868123,0.158721,0.0333835
"E15.5","Nfia",11.0113,15.1797,3.27158,2.96311
"E15.5","Nfib",21.7402,26.1674,2.75216,4.75055
"E15.5","Nfic",0.312955,0.21561,0.146007,0.0188186
"E15.5","Nfil3",0.0489034,0.0252984,0.0579722,0.0154233
"E15.5","Nfix",16.7667,27.1326,0.982564,3.1215
"E15.5","Nfkb1",0.0927749,0.1192655,0.10426515,0.0576194
"E15.5","Nfkbia",0.103723,0.17001,0.115574,0.071768
"E15.5","Nfkbie",0.00858305,0.00397069,0.0136534,0.0017712
"E15.5","Nfxl1",0.0279047,0.0435069,0.1341,0.111562
"E15.5","Nfya",1.1666,0.974572,0.925593,0.514359
"E15.5","Nfyb",0.446479,0.239211,0.152261,0.139927
"E15.5","Nfyc",0.0417583,0.0524626,0.0198334,0.0118644
"E15.5","Ngef",0.0247388,0.010416,0.0308083,0.00529891
"E15.5","Ngf",0.00563976,0.00156095,0.00379351,0.00696039
"E15.5","Ngfr",0.240061,0.701867,0.478781,0.344869
"E15.5","Nhlh1",0.0408437,1.52424,0.0863945,0.221263
"E15.5","Nhlh2",2.11619,4.36526,0.734469,5.16197
"E15.5","Nkd1",0.443682,2.06095,0.619029,2.84271
"E15.5","Nkd2",0.355756,0.28085,0.21368,0.2036
"E15.5","Nkx1-1",0.00967138,0.0132231,0.0304421,0.0212155
"E15.5","Nkx1-2",8.02844,7.74136,8.92935,5.24875
"E15.5","Nkx2-1",4.49951866666667,3.546395,6.39959666666667,3.70486666666667
"E15.5","Nkx2-2",0.02211634,0.1704133,0.06839815,0.60053285
"E15.5","Nkx2-3",5.79896,5.40648,4.64765,6.91549
"E15.5","Nkx2-4",0.00910642,0.0170685,0.106643,0.0128575
"E15.5","Nkx2-6",0.00446164,0.00381182,0.042796,0.00466612
"E15.5","Nkx2-9",0.00699904,0.0158438,0.0177196,0.0112022
"E15.5","Nkx3-1",0.0116075,0.0169034,0.0249551,0.0116331
"E15.5","Nkx3-2",0.0123975,0.00775105,0.0181474,0.00596668
"E15.5","Nkx6-2",0.0141931,0.0261564,0.0117515,0.126147
"E15.5","Nle1",0.0737227,0.040428,0.0155044,0.0172679
"E15.5","Nlk",0.0645546,0.0125904,0.026998,0.00797052
"E15.5","Nmb",0.0411889,0.0130148,0.0181588,0.192905
"E15.5","Nmbr",0.0162368,0.0254452,0.0115141,0.00939677
"E15.5","Nmral1",0.213394,0.260762,0.184655,0.181713
"E15.5","Nnat",14.5676,12.61882,7.86918,6.466375
"E15.5","Nobox",0.0442021,0.0522849,0.0913064,0.0233647
"E15.5","Nodal",0.0107115,0.0447255,0.0111989,0.00906825
"E15.5","Nog",0.00799169,0.0111457,0.010768,0.00455954
"E15.5","Nos1",1.34284,1.27853,0.323561,0.376866
"E15.5","Nos1ap",0.0628914,0.136085,0.175852,0.105498
"E15.5","Nos3",0.366774,0.400022,0.326526,0.510398
"E15.5","Notch1",6.84302,7.623,4.03093,2.56687
"E15.5","Notch2",0.5022665,1.222528,0.4019105,0.32517345
"E15.5","Notch3",0.22637,0.291564,0.271913,1.27935
"E15.5","Notch4",0.101577,0.150288,0.0494205,0.093655
"E15.5","Nov",0.709429,1.93058,0.103478,0.00785839
