Area (full name),Age (orig units),Synaptic density units,Cortical volume,Synaptic density (orig units),species,area,age_pcd,syn_dens_per_um3_neuropil,syn_dens_pct_max,source,area_vol,plot
Visual cortex (area 17),10988.33976,synapses per 100um^3 neuropil,neuropil,31.82761053,human,visual,10988,31.82761053,55.2,Huttenlocher 1987,visual,yes
Prefrontal (middle frontal gyrus),191.7270904,synapses per 100um^3 whole cortex,whole cortex,3.629894047,human,prefrontal,192,3.629894047,6.21,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),197.4670471,synapses per 100um^3 whole cortex,whole cortex,2.812399558,human,prefrontal,197,2.812399558,4.81,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),324.0828751,synapses per 100um^3 whole cortex,whole cortex,11.38588706,human,prefrontal,324,11.38588706,19.47,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),281.9965445,synapses per 100um^3 whole cortex,whole cortex,19.09193022,human,prefrontal,282,19.09193022,32.65,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),374.3290601,synapses per 100um^3 whole cortex,whole cortex,29.82764006,human,prefrontal,374,29.82764006,51.02,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),379.4284258,synapses per 100um^3 whole cortex,whole cortex,30.81968647,human,prefrontal,379,30.81968647,52.71,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),700.7391135,synapses per 100um^3 whole cortex,whole cortex,36.64848725,human,prefrontal,701,36.64848725,62.68,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),1633.103713,synapses per 100um^3 whole cortex,whole cortex,58.46655756,human,prefrontal,1633,58.46655756,100,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),4679.839925,synapses per 100um^3 whole cortex,whole cortex,46.66333138,human,prefrontal,4680,46.66333138,79.81,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),5057.571613,synapses per 100um^3 whole cortex,whole cortex,42.86857327,human,prefrontal,5058,42.86857327,73.32,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),5753.766165,synapses per 100um^3 whole cortex,whole cortex,42.04981811,human,prefrontal,5754,42.04981811,71.92,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),7260.587474,synapses per 100um^3 whole cortex,whole cortex,27.74725917,human,prefrontal,7261,27.74725917,47.46,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus),10932.73303,synapses per 100um^3 whole cortex,whole cortex,35.21288883,human,prefrontal,10933,35.21288883,60.23,Huttenlocher 1997,prefrontal (whole cortex),yes
Prefrontal (middle frontal gyrus L3),0.02,synapses x10^8 per mm^3 neuropil,neuropil,8.830021484,human,prefrontal,276,88.30021484,52.03,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),0.04,synapses x10^8 per mm^3 neuropil,neuropil,11.78946886,human,prefrontal,285,117.8946886,69.47,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),0.15,synapses x10^8 per mm^3 neuropil,neuropil,12.07033251,human,prefrontal,325,120.7033251,71.13,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),0.52,synapses x10^8 per mm^3 neuropil,neuropil,14.29866277,human,prefrontal,459,142.9866277,84.26,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),0.67,synapses x10^8 per mm^3 neuropil,neuropil,13.32682177,human,prefrontal,515,133.2682177,78.53,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),0.7,synapses x10^8 per mm^3 neuropil,neuropil,15.15891523,human,prefrontal,525,151.5891523,89.33,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),0.96,synapses x10^8 per mm^3 neuropil,neuropil,16.97013602,human,prefrontal,620,169.7013602,100,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),1.13,synapses x10^8 per mm^3 neuropil,neuropil,16.29487052,human,prefrontal,682,162.9487052,96.02,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),5.22,synapses x10^8 per mm^3 neuropil,neuropil,16.37,human,prefrontal,2176,163.7,96.47,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),7.11,synapses x10^8 per mm^3 neuropil,neuropil,16.12,human,prefrontal,2865,161.2,95,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),16.54,synapses x10^8 per mm^3 neuropil,neuropil,11.29,human,prefrontal,6308,112.9,66.52,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),31.65,synapses x10^8 per mm^3 neuropil,neuropil,10.57,human,prefrontal,11822,105.7,62.28,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),54.57,synapses x10^8 per mm^3 neuropil,neuropil,8.79,human,prefrontal,20190,87.9,51.78,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),51.1,synapses x10^8 per mm^3 neuropil,neuropil,12.45,human,prefrontal,18922,124.5,73.37,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),67.58,synapses x10^8 per mm^3 neuropil,neuropil,11.97,human,prefrontal,24937,119.7,70.52,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),65.02,synapses x10^8 per mm^3 neuropil,neuropil,10.57,human,prefrontal,24004,105.7,62.28,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),68.8,synapses x10^8 per mm^3 neuropil,neuropil,11.16,human,prefrontal,25381,111.6,65.78,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),72.04,synapses x10^8 per mm^3 neuropil,neuropil,10.93,human,prefrontal,26564,109.3,64.4,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),78.26,synapses x10^8 per mm^3 neuropil,neuropil,10.16,human,prefrontal,28834,101.6,59.88,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),73.99,synapses x10^8 per mm^3 neuropil,neuropil,9.65,human,prefrontal,27275,96.5,56.89,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),79.49,synapses x10^8 per mm^3 neuropil,neuropil,9.7,human,prefrontal,29283,97,57.18,Huttenlocher 1979,prefrontal,yes
Prefrontal (middle frontal gyrus L3),90.69,synapses x10^8 per mm^3 neuropil,neuropil,8.66,human,prefrontal,33373,86.6,51.05,Huttenlocher 1979,prefrontal,yes
Visual cortex,0,synapses per 100um^2 neuropil,neuropil,0.18,rat,visual,21,NA,2.39,Blue 1983,visual,yes
Visual cortex,2,synapses per 100um^2 neuropil,neuropil,0.18,rat,visual,23,NA,2.4,Blue 1983,visual,yes
Visual cortex,4,synapses per 100um^2 neuropil,neuropil,0.39,rat,visual,25,NA,5.2,Blue 1983,visual,yes
Visual cortex,6,synapses per 100um^2 neuropil,neuropil,0.75,rat,visual,27,NA,10.03,Blue 1983,visual,yes
Visual cortex,8,synapses per 100um^2 neuropil,neuropil,0.94,rat,visual,29,NA,12.62,Blue 1983,visual,yes
Visual cortex,14,synapses per 100um^2 neuropil,neuropil,2.89,rat,visual,35,NA,38.68,Blue 1983,visual,yes
Visual cortex,16,synapses per 100um^2 neuropil,neuropil,6.66,rat,visual,37,NA,89.26,Blue 1983,visual,yes
Visual cortex,20,synapses per 100um^2 neuropil,neuropil,6.84,rat,visual,41,NA,91.63,Blue 1983,visual,yes
Visual cortex,28,synapses per 100um^2 neuropil,neuropil,7.46,rat,visual,49,NA,100,Blue 1983,visual,yes
Visual cortex,90,synapses per 100um^2 neuropil,neuropil,7.38,rat,visual,111,NA,98.97,Blue 1983,visual,yes
Visual cortex (area 17),40.39805689,synapses per 100um^3 neuropil,neuropil,0.127654837,macaque,visual,40.39805689,0.127654837,0.108,Rakic 1994,visual,yes
Visual cortex (area 17),44.8941804,synapses per 100um^3 neuropil,neuropil,0.137303168,macaque,visual,44.8941804,0.137303168,0.116,Rakic 1994,visual,yes
Visual cortex (area 17),47.51902363,synapses per 100um^3 neuropil,neuropil,0.142498423,macaque,visual,47.51902363,0.142498423,0.12,Rakic 1994,visual,yes
Visual cortex (area 17),112.1726081,synapses per 100um^3 neuropil,neuropil,5.463181723,macaque,visual,112.1726081,5.463181723,4.605,Rakic 1994,visual,yes
Visual cortex (area 17),142.7117984,synapses per 100um^3 neuropil,neuropil,15.5464295,macaque,visual,142.7117984,15.5464295,13.105,Rakic 1994,visual,yes
Visual cortex (area 17),163.68444,synapses per 100um^3 neuropil,neuropil,48.79705107,macaque,visual,163.68444,48.79705107,41.132,Rakic 1994,visual,yes
Visual cortex (area 17),177.7380613,synapses per 100um^3 neuropil,neuropil,44.36846728,macaque,visual,177.7380613,44.36846728,37.399,Rakic 1994,visual,yes
Visual cortex (area 17),185.7393515,synapses per 100um^3 neuropil,neuropil,61.62759917,macaque,visual,185.7393515,61.62759917,51.948,Rakic 1994,visual,yes
Visual cortex (area 17),225.8443526,synapses per 100um^3 neuropil,neuropil,59.08340858,macaque,visual,225.8443526,59.08340858,49.803,Rakic 1994,visual,yes
Visual cortex (area 17),224.9327766,synapses per 100um^3 neuropil,neuropil,74.03114679,macaque,visual,224.9327766,74.03114679,62.403,Rakic 1994,visual,yes
Visual cortex (area 17),260.4840919,synapses per 100um^3 neuropil,neuropil,71.7019408,macaque,visual,260.4840919,71.7019408,60.44,Rakic 1994,visual,yes
Visual cortex (area 17),301.4139279,synapses per 100um^3 neuropil,neuropil,72.32017614,macaque,visual,301.4139279,72.32017614,60.961,Rakic 1994,visual,yes
Visual cortex (area 17),313.5774088,synapses per 100um^3 neuropil,neuropil,76.10603268,macaque,visual,313.5774088,76.10603268,64.152,Rakic 1994,visual,yes
Visual cortex (area 17),382.1333225,synapses per 100um^3 neuropil,neuropil,65.35111265,macaque,visual,382.1333225,65.35111265,55.086,Rakic 1994,visual,yes
Visual cortex (area 17),379.9843575,synapses per 100um^3 neuropil,neuropil,86.19373353,macaque,visual,379.9843575,86.19373353,72.655,Rakic 1994,visual,yes
Visual cortex (area 17),299.531149,synapses per 100um^3 neuropil,neuropil,95.47864379,macaque,visual,299.531149,95.47864379,80.482,Rakic 1994,visual,yes
Visual cortex (area 17),259.9874825,synapses per 100um^3 neuropil,neuropil,108.7547469,macaque,visual,259.9874825,108.7547469,91.672,Rakic 1994,visual,yes
Visual cortex (area 17),307.4836834,synapses per 100um^3 neuropil,neuropil,118.6341427,macaque,visual,307.4836834,118.6341427,100,Rakic 1994,visual,yes
Visual cortex (area 17),564.2786723,synapses per 100um^3 neuropil,neuropil,94.78915923,macaque,visual,564.2786723,94.78915923,79.9,Rakic 1994,visual,yes
Visual cortex (area 17),562.3693551,synapses per 100um^3 neuropil,neuropil,77.31578492,macaque,visual,562.3693551,77.31578492,65.172,Rakic 1994,visual,yes
Visual cortex (area 17),960.9094918,synapses per 100um^3 neuropil,neuropil,107.3720668,macaque,visual,960.9094918,107.3720668,90.507,Rakic 1994,visual,yes
Visual cortex (area 17),756.595878,synapses per 100um^3 neuropil,neuropil,60.86760759,macaque,visual,756.595878,60.86760759,51.307,Rakic 1994,visual,yes
Visual cortex (area 17),757.1132429,synapses per 100um^3 neuropil,neuropil,58.3412293,macaque,visual,757.1132429,58.3412293,49.177,Rakic 1994,visual,yes
Visual cortex (area 17),964.7762518,synapses per 100um^3 neuropil,neuropil,62.5295944,macaque,visual,964.7762518,62.5295944,52.708,Rakic 1994,visual,yes
Visual cortex (area 17),1252.940815,synapses per 100um^3 neuropil,neuropil,56.61096199,macaque,visual,1252.940815,56.61096199,47.719,Rakic 1994,visual,yes
Visual cortex (area 17),1108.892579,synapses per 100um^3 neuropil,neuropil,87.99054958,macaque,visual,1108.892579,87.99054958,74.17,Rakic 1994,visual,yes
Visual cortex (area 17),1244.688843,synapses per 100um^3 neuropil,neuropil,81.03261878,macaque,visual,1244.688843,81.03261878,68.305,Rakic 1994,visual,yes
Visual cortex (area 17),1786.312749,synapses per 100um^3 neuropil,neuropil,65.84169316,macaque,visual,1786.312749,65.84169316,55.5,Rakic 1994,visual,yes
Visual cortex (area 17),1790.795636,synapses per 100um^3 neuropil,neuropil,56.5783061,macaque,visual,1790.795636,56.5783061,47.691,Rakic 1994,visual,yes
Visual cortex (area 17),2006.323453,synapses per 100um^3 neuropil,neuropil,56.56791559,macaque,visual,2006.323453,56.56791559,47.683,Rakic 1994,visual,yes
Visual cortex (area 17),1995.324828,synapses per 100um^3 neuropil,neuropil,46.88420766,macaque,visual,1995.324828,46.88420766,39.52,Rakic 1994,visual,yes
Visual cortex (area 17),1996.120624,synapses per 100um^3 neuropil,neuropil,45.41048699,macaque,visual,1996.120624,45.41048699,38.278,Rakic 1994,visual,yes
Visual cortex (area 17),2837.767153,synapses per 100um^3 neuropil,neuropil,65.16779437,macaque,visual,2837.767153,65.16779437,54.932,Rakic 1994,visual,yes
Visual cortex (area 17),3806.559629,synapses per 100um^3 neuropil,neuropil,59.66725629,macaque,visual,3806.559629,59.66725629,50.295,Rakic 1994,visual,yes
Visual cortex (area 17),4958.470946,synapses per 100um^3 neuropil,neuropil,42.5904531,macaque,visual,4958.470946,42.5904531,35.901,Rakic 1994,visual,yes
Visual cortex (area 17),6337.598442,synapses per 100um^3 neuropil,neuropil,35.62064743,macaque,visual,6337.598442,35.62064743,30.026,Rakic 1994,visual,yes
Visual cortex (area 17),7518.912252,synapses per 100um^3 neuropil,neuropil,33.92080947,macaque,visual,7518.912252,33.92080947,28.593,Rakic 1994,visual,yes
Visual cortex (area 17),7513.774288,synapses per 100um^3 neuropil,neuropil,36.44718776,macaque,visual,7513.774288,36.44718776,30.722,Rakic 1994,visual,yes
Prefrontal cortex (area 46),39.87517262,synapses per 100um^3 neuropil,neuropil,2.14E-14,macaque,prefrontal,39.87517262,2.14E-14,0,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),43.93970561,synapses per 100um^3 neuropil,neuropil,1.53E-14,macaque,prefrontal,43.93970561,1.53E-14,0,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),46.87704071,synapses per 100um^3 neuropil,neuropil,4.14E-17,macaque,prefrontal,46.87704071,4.14E-17,0,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),59.26731255,synapses per 100um^3 neuropil,neuropil,0.210526316,macaque,prefrontal,59.26731255,0.210526316,0.281,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),76.74693021,synapses per 100um^3 neuropil,neuropil,2.105263158,macaque,prefrontal,76.74693021,2.105263158,2.809,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),88.7565513,synapses per 100um^3 neuropil,neuropil,3.157894737,macaque,prefrontal,88.7565513,3.157894737,4.213,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),103.487926,synapses per 100um^3 neuropil,neuropil,3.789473684,macaque,prefrontal,103.487926,3.789473684,5.056,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),147.3928848,synapses per 100um^3 neuropil,neuropil,14.94736842,macaque,prefrontal,147.3928848,14.94736842,19.944,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),175.5537884,synapses per 100um^3 neuropil,neuropil,30.31578947,macaque,prefrontal,175.5537884,30.31578947,40.449,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),162.9640108,synapses per 100um^3 neuropil,neuropil,38.31578947,macaque,prefrontal,162.9640108,38.31578947,51.124,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),162.9154539,synapses per 100um^3 neuropil,neuropil,39.78947368,macaque,prefrontal,162.9154539,39.78947368,53.09,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),223.5578211,synapses per 100um^3 neuropil,neuropil,74.94736842,macaque,prefrontal,223.5578211,74.94736842,100,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),224.3300559,synapses per 100um^3 neuropil,neuropil,57.89473684,macaque,prefrontal,224.3300559,57.89473684,77.247,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),259.555507,synapses per 100um^3 neuropil,neuropil,56.63157895,macaque,prefrontal,259.555507,56.63157895,75.562,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),257.7825668,synapses per 100um^3 neuropil,neuropil,50.52631579,macaque,prefrontal,257.7825668,50.52631579,67.416,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),299.9800139,synapses per 100um^3 neuropil,neuropil,60.84210526,macaque,prefrontal,299.9800139,60.84210526,81.18,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),382.1539764,synapses per 100um^3 neuropil,neuropil,63.57894737,macaque,prefrontal,382.1539764,63.57894737,84.831,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),380.1742902,synapses per 100um^3 neuropil,neuropil,49.26315789,macaque,prefrontal,380.1742902,49.26315789,65.73,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),751.092338,synapses per 100um^3 neuropil,neuropil,42.10526316,macaque,prefrontal,751.092338,42.10526316,56.18,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),1102.384992,synapses per 100um^3 neuropil,neuropil,64.63157895,macaque,prefrontal,1102.384992,64.63157895,86.236,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),1253.257125,synapses per 100um^3 neuropil,neuropil,70.31578947,macaque,prefrontal,1253.257125,70.31578947,93.82,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),1246.181116,synapses per 100um^3 neuropil,neuropil,58.31578947,macaque,prefrontal,1246.181116,58.31578947,77.809,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),1246.605609,synapses per 100um^3 neuropil,neuropil,56.63157895,macaque,prefrontal,1246.605609,56.63157895,75.562,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),2866.502979,synapses per 100um^3 neuropil,neuropil,58.94736842,macaque,prefrontal,2866.502979,58.94736842,78.652,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),1966.896851,synapses per 100um^3 neuropil,neuropil,41.47368421,macaque,prefrontal,1966.896851,41.47368421,55.337,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),1967.901928,synapses per 100um^3 neuropil,neuropil,38.94736842,macaque,prefrontal,1967.901928,38.94736842,51.966,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),3791.291103,synapses per 100um^3 neuropil,neuropil,36.21052632,macaque,prefrontal,3791.291103,36.21052632,48.315,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),4990.793541,synapses per 100um^3 neuropil,neuropil,36.84210526,macaque,prefrontal,4990.793541,36.84210526,49.157,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),4980.817493,synapses per 100um^3 neuropil,neuropil,46.73684211,macaque,prefrontal,4980.817493,46.73684211,62.36,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),7531.52255,synapses per 100um^3 neuropil,neuropil,41.89473684,macaque,prefrontal,7531.52255,41.89473684,55.899,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),7492.187763,synapses per 100um^3 neuropil,neuropil,27.78947368,macaque,prefrontal,7492.187763,27.78947368,37.079,Rakic 1994,prefrontal,yes
Prefrontal cortex (area 46),7497.931216,synapses per 100um^3 neuropil,neuropil,24,macaque,prefrontal,7497.931216,24,32.022,Rakic 1994,prefrontal,yes
