"V1","V2"
"LOC711865","E90"
"LOC100424360","E90"
"TAC1","E90"
"LDB2","E90"
"LHX2","E90"
"MET","E90"
"ACTA1","E90"
"PTPN13","E90"
"HS3ST4","E90"
"RAB4A","E90"
"MID1","E90"
"RAP1GDS1","E90"
"RARB","E90"
"RELN","E90"
"ARNTL","E90"
"ASCL1","E90"
"RGS7","E90"
"MN1","E90"
"RNF19A","E90"
"SCG2","E90"
"R3HDM1","E90"
"NEO1","E90"
"CD74","E90"
"SATB1","E90"
"CDH12","E90"
"ALDH2","E90"
"PCDH8","E90"
"CSPG5","E90"
"B3GALT2","E90"
"ABI3BP","E90"
"LPL","E90"
"SLC2A3","E90"
"SH3GL2","E90"
"THBS1","E90"
"TJP1","E90"
"TRIB1","E90"
"ELK1","E90"
"ADRA2A","E90"
"GRM8","E90"
"SERPINE2","E90"
"ETS2","E90"
"CTPS","E90"
"TRIM36","E90"
"FZD7","E90"
"UGP2","E90"
"LOC700450","E90"
"SMAD9","E90"
"TLE4","E90"
"LRRC4C","E90"
"NLGN1","E90"
"ARHGAP12","E90"
"LOC100427444","E90"
"BARD1","E90"
"LOC708601","E90"
"OMG","E90"
"ARL15","E90"
"LOC712288","E90"
"ANO3","E90"
"AIM2","E120"
"PSD3","E120"
"NPR3","E120"
"COBLL1","E120"
"FAT4","E120"
"ANKRD50","E120"
"DAB1","E120"
"LOC709920","E120"
"RXFP1","E120"
"LOC698852","E120"
"WWP2","E120"
"LOC708395","E120"
"FOXN3","E120"
"LOC100423631","E120"
"CAV1","E120"
"LOC703270","E120"
"CHSY3","E120"
"PTGIS","E120"
"EFNA5","E120"
"PLXDC2","E120"
"CHCHD7","E120"
"PRICKLE2","E120"
"PGM2L1","E120"
"LOC100424432","E120"
"DNAH5","E120"
"LOC705288","E120"
"TTC37","E120"
"SVEP1","E120"
"LOC714876","E120"
"GLDC","E120"
"LOC718626","E120"
"LOC100430941","E120"
"CHN1","E120"
"LOC702990","E120"
"LOC705851","E120"
"PTPRF","E120"
"GRM3","E120"
"LOC696983","E120"
"STK17A","E120"
"ELL2","E120"
"CCDC88C","E120"
"KCNQ5","E120"
"FBXO32","E120"
"IL1RAPL1","E120"
"TMEM196","E120"
"MEPE","E120"
"LOC100425626","E120"
"VASH2","E120"
"CNTN6","E120"
"ITPR1","E120"
"LOC718726","E120"
"PTH2R","E120"
"HAS2","E120"
"CACNB4","E120"
"SHISA2","E120"
"SSTR1","E120"
"SEZ6L","E120"
"LOC716862","E120"
"TMEM200A","E120"
"ID2","E120"
"FABP7","E120"
"LOC694524","E120"
"NFIA","E120"
"XPR1","E120"
"TIAM1","E120"
"LOC702906","E120"
"TMEFF2","E120"
"KIT","E120"
"SLC24A2","E120"
"SEMA6D","E120"
"LOC715864","E120"
"LOC713154","E120"
"IRS2","E120"
"PRICKLE1","E120"
"LOC574390","E120"
"MTR","E120"
"LOC716059","E120"
"PROX1","E120"
"ROBO1","E120"
"SOX11","E120"
"LALBA","E120"
"LAMB1","E120"
"LBH","E120"
"LRRC8C","E120"
"PLXNA2","E120"
"LOC695100","E120"
"PRSS12","E120"
"LOC697272","E120"
"DDAH1","E120"
"RCN1","E120"
"MLF1","E120"
"NGB","E120"
"PIK3C2G","E120"
"SLIT1","E120"
"PAPPA2","E120"
"LOC100426170","E120"
"FAM5B","E120"
"LOC693492","E120"
"ABHD6","E120"
"NT5DC1","E120"
"LOC100429852","E120"
"ATXN1","E120"
"PTGER4","E120"
"MAN2A1","E120"
"CCDC167","E120"
"HES1","E120"
"LPAR1","E120"
"AKAP7","E120"
"BMPR1B","E120"
"FRMPD4","E120"
"LOC707075","E120"
"ST3GAL5","E120"
"SULF1","E120"
"CLMP","E120"
"LOC100429846","E120"
"TTC28","E120"
"LOC574319","E120"
"TSHZ1","E120"
"GCNT2","E120"
"LNPEP","E120"
"GLIS3","E120"
"ZNF608","E120"
"LOC708386","E120"
"PRKCB","E120"
"RUNX1T1","E120"
"GPR64","E120"
"ARID1B","E120"
"RNF182","E120"
"CDC42EP3","E120"
"KCNJ6","E120"
"GPR6","E120"
"GPR126","E120"
"SOX5","E120"
"STK32B","E120"
"LOC710110","E120"
"LOC720209","E120"
"LOC694431","E120"
"LOC703641","E120"
"MTFR1","E120"
"CSRNP3","E120"
"LOC100427307","E120"
"ELAVL2","E120"
"NUP93","E120"
"NXPH2","E120"
"RYR2","E120"
"SRPK1","E120"
"TMEM74","E120"
"SLC35F1","E120"
"FAM81A","E120"
"CRH","E120"
"CRYM","E120"
"LOC710966","E120"
"LOC705976","E120"
"AVPR1A","E120"
"ADAM22","E120"
"OPRK1","E120"
"LOC100430565","E120"
"CYP26A1","E120"
"LOC719721","E120"
"HS3ST2","E120"
"PDZD2","E120"
"CD47","E120"
"DOC2A","E120"
"FOXN2","E120"
"SDK1","E120"
"LOC707295","E120"
"SYT6","E120"
"LOC708067","E120"
"ARHGAP20","E120"
"SDK2","E120"
"KANK1","E120"
"FOXP2","E120"
"CHRDL1","E120"
"LOC714084","E120"
"PLBD2","E120"
"LOC718187","E120"
"THRB","E120"
"VGLL4","E120"
"ASB5","E120"
"ETFB","E120"
"PDGFC","E120"
"LOC717376","E120"
"PHF17","E120"
"PCDH17","E120"
"ATXN7L1","E120"
"LOC720466","E120"
"LOC717747","E120"
"ANTXR2","E120"
"EPHA3","E120"
"CCBE1","E120"
"LGR5","E120"
"UCN","E120"
"LOC714010","E120"
"LOC699880","E120"
"LOC698727","E120"
"LOC694650","E120"
"AGAP1","E120"
"LOC719963","E120"
"NPTX2","E120"
"LOC100424654","E120"
"SP8","E120"
"GREM1","E120"
"TGFB3","E120"
"PDE1A","E120"
"DEPTOR","E120"
"PTGFRN","E120"
"LOC693866","E120"
"RPRM","E120"
"IGSF21","E120"
"LIX1","E120"
"PVRL3","E120"
"KCNT2","E120"
"LOC709171","E120"
"LOC716656","E120"
"TMOD1","E120"
"LOC718015","E120"
"LOC700069","E120"
"FAM134B","E120"
"CASP3","E120"
"HNMT","E120"
"SLC17A6","E120"
"ZNF704","E120"
"PCDH9","E120"
"TMEM2","E120"
"GALNTL4","E120"
"SHC3","E120"
"FOSL2","E120"
"TSHZ3","E120"
"CNTN5","E120"
"FAM19A1","E120"
"SST","E120"
"LOC696973","E120"
"FAM101A","E120"
"LOC701416","E120"
"KCNJ9","E120"
"CAMK2N1","E120"
"SYNE1","E120"
"NRP2","E120"
"TRHDE","E120"
"NUAK1","E120"
"LOC721549","E120"
"LOC699459","E120"
"CDH8","E120"
"OTUD7A","E120"
"ARHGAP44","E120"
"QPCT","E120"
"MAN1A1","E120"
"CDH22","E120"
"TANC2","E120"
"LOC714534","E120"
"LOC713237","E120"
"NPY1R","E120"
"KCTD8","E120"
"MYO1E","E120"
"TLL1","E120"
"MT3","E120"
"SIPA1L2","E120"
"SLC30A3","E120"
"PDYN","E120"
"SNAI2","E120"
"LOC704044","E120"
"POSTN","E120"
"LOC713335","E120"
"LOC100428522","E120"
"LOC712107","E120"
"BHLHE22","E120"
"KCNK1","E120"
"BTBD3","E120"
"MEIS2","E120"
"WNT10B","E120"
"SEMA3D","E120"
"SH2D4B","E120"
"LOC701524","E120"
"MYCN","E120"
"PDGFRA","E120"
"LOC696649","E120"
"AMPH","E120"
"LOC712795","E120"
"DACT1","E120"
"PTPRO","E120"
"PPP2R5A","E120"
"GDF10","E120"
"GPR22","E120"
"LOC706468","E120"
"SORCS1","E120"
"TOX","E120"
"ENC1","E120"
"FEZF2","E120"
"ADAMTS3","E120"
"MITF","E120"
"ADAMTS9","E120"
"KLF16","E120"
"KCNH3","E120"
"KLHL5","E120"
"LHX2","E120"
"MET","E120"
"NR2F2","E120"
"HS3ST4","E120"
"MID1","E120"
"ASCL1","E120"
"MN1","E120"
"RNF19A","E120"
"R3HDM1","E120"
"NEB","E120"
"SERPINB5","E120"
"SATB1","E120"
"LOC695487","E120"
"ATP1A3","E120"
"PCDH8","E120"
"CSPG5","E120"
"PDGFA","E120"
"PTX3","E120"
"RNF128","E120"
"B3GALT2","E120"
"LOC712238","E120"
"SH3GL2","E120"
"TGFA","E120"
"THBS1","E120"
"HBEGF","E120"
"TBL1Y","E120"
"TRIB1","E120"
"ADRA2A","E120"
"NEUROD6","E120"
"GRM8","E120"
"FRMD4B","E120"
"SEMA3F","E120"
"ENTPD3","E120"
"ETS2","E120"
"IFI6","E120"
"UGP2","E120"
"GYG1","E120"
"HS3ST5","E120"
"HS6ST2","E120"
"TLE1","E120"
"TLE4","E120"
"NLGN1","E120"
"NTSR2","E120"
"ARHGAP12","E120"
"ARHGAP18","E120"
"CA10","E120"
"CIT","E120"
"LOC708601","E120"
"LOC712288","E120"
"TMEM201","E120"
"ANO3","E120"
"DOK4","0M"
"PSRC1","0M"
"FAM46A","0M"
"PTHLH","0M"
"CRTAC1","0M"
"LOC705659","0M"
"PCSK2","0M"
"TRPM3","0M"
"ARHGAP10","0M"
"PLEKHF2","0M"
"LOC700147","0M"
"ATP2B3","0M"
"LOC710912","0M"
"NDFIP2","0M"
"DAB1","0M"
"MOG","0M"
"BCL6","0M"
"LOC694192","0M"
"LOC100424671","0M"
"SIPA1L1","0M"
"SLC25A22","0M"
"LOC708395","0M"
"LOC704029","0M"
"LOC719523","0M"
"SPAG6","0M"
"RGS6","0M"
"NCALD","0M"
"LOC712844","0M"
"CDK14","0M"
"BUB1B","0M"
"LOC100424432","0M"
"SLC35F4","0M"
"GAB2","0M"
"EHD3","0M"
"ABCC3","0M"
"LOC100424549","0M"
"LOC701153","0M"
"PTPRF","0M"
"STK17A","0M"
"EPHA4","0M"
"TMEM196","0M"
"SPON2","0M"
"EPB41L4B","0M"
"HPCAL1","0M"
"SESN1","0M"
"TPPP","0M"
"GLT25D2","0M"
"SPINK2","0M"
"LOC713579","0M"
"KDM2B","0M"
"ASTN2","0M"
"HAS2","0M"
"SSTR1","0M"
"IRGQ","0M"
"LOC715782","0M"
"LOC696091","0M"
"OLFML2B","0M"
"LOC100423984","0M"
"SYN3","0M"
"LOC694524","0M"
"LOC702798","0M"
"NEURL1B","0M"
"SYT17","0M"
"SLC24A2","0M"
"KLHDC8A","0M"
"LOC716868","0M"
"LOC715864","0M"
"LOC713154","0M"
"KRT17","0M"
"PRICKLE1","0M"
"LOC574390","0M"
"KITLG","0M"
"WBSCR17","0M"
"LOC710350","0M"
"SOX11","0M"
"LOC100423211","0M"
"LAMB1","0M"
"STARD13","0M"
"ERMN","0M"
"CACNA1E","0M"
"PRSS12","0M"
"LOC697272","0M"
"ZBTB34","0M"
"LANCL2","0M"
"PTPN3","0M"
"ARPP19","0M"
"RCN1","0M"
"DUSP14","0M"
"C8H8orf46","0M"
"GABRB3","0M"
"NTNG2","0M"
"CDK2AP1","0M"
"SLIT1","0M"
"LRRC4","0M"
"MDGA2","0M"
"FAM84A","0M"
"FNDC4","0M"
"CTBP2","0M"
"MINA","0M"
"BSN","0M"
"TMEM155","0M"
"HES1","0M"
"SCN1B","0M"
"SEC14L1","0M"
"LOC707075","0M"
"PDE7B","0M"
"SULF1","0M"
"ARPP21","0M"
"CBLN2","0M"
"LOC574319","0M"
"RDH10","0M"
"LOC709484","0M"
"LOC716854","0M"
"TESC","0M"
"SH3GLB1","0M"
"LOC100425338","0M"
"NPAS2","0M"
"FOXP1","0M"
"GPR64","0M"
"SMAD3","0M"
"GPR6","0M"
"GPR126","0M"
"SLC24A4","0M"
"LOXL1","0M"
"STK32B","0M"
"FGF14","0M"
"LOC720209","0M"
"CLDN11","0M"
"RNF150","0M"
"LOC100427307","0M"
"RASD1","0M"
"LOC700580","0M"
"NXPH2","0M"
"MYLIP","0M"
"ZNF827","0M"
"GLCE","0M"
"TMEM35","0M"
"LOC720399","0M"
"LOC710966","0M"
"CSRP2","0M"
"LOC696742","0M"
"RIMBP2","0M"
"CDK5RAP3","0M"
"CYP26A1","0M"
"AADAT","0M"
"LOC719721","0M"
"BHLHE40","0M"
"KRT1","0M"
"LOC713545","0M"
"HSPA12B","0M"
"NHSL1","0M"
"AFF1","0M"
"MDGA1","0M"
"TTLL12","0M"
"LOC708067","0M"
"ARHGAP20","0M"
"CACNA1D","0M"
"FOXP2","0M"
"LOC698659","0M"
"GUCY1A3","0M"
"EPHA6","0M"
"ASB5","0M"
"RASL10A","0M"
"LOC100430928","0M"
"LOC698314","0M"
"LOC720466","0M"
"UBASH3B","0M"
"MED8","0M"
"LOC100425025","0M"
"LOC100429093","0M"
"IPCEF1","0M"
"LOC719963","0M"
"LOC710387","0M"
"LOC697915","0M"
"LOC717360","0M"
"LOC707198","0M"
"MOBP","0M"
"LOC100430310","0M"
"PDE8A","0M"
"LOC704391","0M"
"CAPSL","0M"
"PTGFRN","0M"
"LOC693866","0M"
"RPRM","0M"
"CNTNAP1","0M"
"PCDH18","0M"
"CAMKK2","0M"
"DPY19L3","0M"
"LOC709015","0M"
"KCNA6","0M"
"LOC716656","0M"
"STAC2","0M"
"SEPT4","0M"
"LDLRAD4","0M"
"TMOD1","0M"
"ARVCF","0M"
"RASAL2","0M"
"SLC17A6","0M"
"HHIP","0M"
"ZBED1","0M"
"MAN1C1","0M"
"KCNQ3","0M"
"LOC701085","0M"
"RHOU","0M"
"FAM19A1","0M"
"LOC100428434","0M"
"KLHL25","0M"
"SPRY2","0M"
"RIMS3","0M"
"LOC701416","0M"
"GALNT2","0M"
"MGLL","0M"
"GRIK2","0M"
"LOC706461","0M"
"NRP2","0M"
"LOC100428914","0M"
"SORBS2","0M"
"ASAP1","0M"
"CHST11","0M"
"MAMDC2","0M"
"LOC721549","0M"
"CNP","0M"
"CDH8","0M"
"LOC713293","0M"
"PDE4D","0M"
"DOCK4","0M"
"RIMS2","0M"
"ADAMTS4","0M"
"MAOB","0M"
"PDYN","0M"
"SNAI2","0M"
"POSTN","0M"
"CPNE2","0M"
"CPNE4","0M"
"LOC713335","0M"
"LOC100428522","0M"
"RAI2","0M"
"DTL","0M"
"RAP1GAP","0M"
"LOC712107","0M"
"BHLHE22","0M"
"BTBD3","0M"
"MEIS2","0M"
"NRN1","0M"
"NXPH3","0M"
"WNT10B","0M"
"NEK2","0M"
"SEZ6","0M"
"EXPH5","0M"
"CRHR1","0M"
"LOC696649","0M"
"PLCB4","0M"
"RACGAP1","0M"
"PLP1","0M"
"LOC715695","0M"
"CSRNP1","0M"
"LOC712795","0M"
"DACT1","0M"
"RILPL2","0M"
"LOC706468","0M"
"VIP","0M"
"FEZF2","0M"
"CENPF","0M"
"LOC100424360","0M"
"TPM2","0M"
"KCNH8","0M"
"LHX2","0M"
"MAP3K10","0M"
"ACCN2","0M"
"HS3ST4","0M"
"MAB21L1","0M"
"LOC716252","0M"
"ASCL1","0M"
"MN1","0M"
"R3HDM1","0M"
"BTG3","0M"
"CACNA2D2","0M"
"SATB1","0M"
"CDH18","0M"
"ART3","0M"
"PCDH8","0M"
"EYA1","0M"
"LOC717528","0M"
"PTX3","0M"
"TBC1D1","0M"
"SGK3","0M"
"THBD","0M"
"THBS1","0M"
"SLC35B3","0M"
"TRIB1","0M"
"SPTSSB","0M"
"NEUROD6","0M"
"CTSL2","0M"
"DGKA","0M"
"GRM8","0M"
"ENTPD3","0M"
"SERPINE2","0M"
"IFI6","0M"
"LRRTM4","0M"
"TLE1","0M"
"TLE4","0M"
"ZFPM2","0M"
"CALB1","0M"
"DHX58","0M"
"CPLX1","0M"
"CTNNA2","0M"
"LOC712288","0M"
"MAL","0M"
"PSRC1","3M"
"RPRML","3M"
"CRYGA","3M"
"SLITRK1","3M"
"LOC708561","3M"
"FAT4","3M"
"OSBPL9","3M"
"PCSK2","3M"
"ARHGAP10","3M"
"PRRC2C","3M"
"ZMAT4","3M"
"CCNI","3M"
"DAB1","3M"
"MXRA5","3M"
"BCL6","3M"
"LOC100424932","3M"
"SIPA1L1","3M"
"LOC713904","3M"
"LOC719523","3M"
"CAV1","3M"
"RGS6","3M"
"NCALD","3M"
"LOC703549","3M"
"ADCY1","3M"
"LOC100424432","3M"
"HMP19","3M"
"SOSTDC1","3M"
"LANCL1","3M"
"LOC712408","3M"
"PRR15","3M"
"GAB2","3M"
"LOC705851","3M"
"OSTF1","3M"
"GRM3","3M"
"LOC696983","3M"
"WIPF1","3M"
"PHACTR3","3M"
"SPON2","3M"
"MEPE","3M"
"EPB41L4B","3M"
"OPALIN","3M"
"RORB","3M"
"HPCAL1","3M"
"LOC713579","3M"
"HPGD","3M"
"ASTN2","3M"
"SSTR1","3M"
"LOC715782","3M"
"FAM117A","3M"
"SEZ6L","3M"
"MAPK4","3M"
"HTR1E","3M"
"TMEM200A","3M"
"OLFML2B","3M"
"ID2","3M"
"LOC100423984","3M"
"SYN3","3M"
"LOC694524","3M"
"THSD7A","3M"
"NFIA","3M"
"SLC24A2","3M"
"KLHDC8A","3M"
"CACNA2D1","3M"
"LOC715864","3M"
"KRT17","3M"
"LOC574390","3M"
"OPRD1","3M"
"LOC100424400","3M"
"SOX11","3M"
"SLA","3M"
"ANKRD34C","3M"
"LOC721400","3M"
"LAMB1","3M"
"PIP5K1B","3M"
"LBH","3M"
"STARD13","3M"
"ODZ2","3M"
"NR4A2","3M"
"LOC695100","3M"
"LOC715820","3M"
"RCN1","3M"
"DUSP14","3M"
"DLG5","3M"
"NTNG2","3M"
"RASSF5","3M"
"LOC696006","3M"
"SLIT1","3M"
"ABHD12B","3M"
"RASL11B","3M"
"NT5DC1","3M"
"RYR3","3M"
"ARRB1","3M"
"SEC14L1","3M"
"LOC707075","3M"
"CNTNAP4","3M"
"IQSEC1","3M"
"PDE7B","3M"
"SPARCL1","3M"
"SULF1","3M"
"ARPP21","3M"
"CBLN2","3M"
"LOC716580","3M"
"LOC574319","3M"
"RDH10","3M"
"TSHZ1","3M"
"RGMB","3M"
"ANLN","3M"
"ARHGAP32","3M"
"LOC100427516","3M"
"LOC714577","3M"
"LOC698043","3M"
"CBLN4","3M"
"SMAD3","3M"
"SLC25A37","3M"
"CETN2","3M"
"CDKL1","3M"
"RASD1","3M"
"LOC100425265","3M"
"SCN3B","3M"
"NOV","3M"
"C1H1orf95","3M"
"SLC35F1","3M"
"CRH","3M"
"CRYM","3M"
"LOC716031","3M"
"GLCE","3M"
"LOC720399","3M"
"AFM","3M"
"LOC100430565","3M"
"LOC719315","3M"
"KCNA2","3M"
"HS3ST2","3M"
"ARHGAP22","3M"
"KRT1","3M"
"ADAMTS8","3M"
"STAMBPL1","3M"
"CXHXorf57","3M"
"PDZD2","3M"
"LOC713545","3M"
"CDK6","3M"
"DPYSL3","3M"
"PHLDB2","3M"
"MXI1","3M"
"LOC100424818","3M"
"C8H8orf79","3M"
"NDRG1","3M"
"SYT6","3M"
"LOC718937","3M"
"FOXP2","3M"
"GDPD5","3M"
"LRRC55","3M"
"SLC7A2","3M"
"FAM196B","3M"
"CNTNAP5","3M"
"NFIB","3M"
"LOXL2","3M"
"ANTXR2","3M"
"CCBE1","3M"
"LOC714010","3M"
"KCTD4","3M"
"ATP8B1","3M"
"NPY2R","3M"
"NETO1","3M"
"LOC719963","3M"
"LOC712742","3M"
"LOC100426700","3M"
"LOC697915","3M"
"LOC717360","3M"
"SP8","3M"
"LOC707198","3M"
"LOC698292","3M"
"PDE1A","3M"
"CACNB2","3M"
"IGFBP5","3M"
"DEPTOR","3M"
"BCL2L11","3M"
"LOC100426725","3M"
"RPRM","3M"
"LOC705675","3M"
"PCDH18","3M"
"LOC717880","3M"
"LOC709171","3M"
"ARHGAP6","3M"
"ODZ3","3M"
"DUSP4","3M"
"MB21D2","3M"
"KCNA6","3M"
