"V1","V2"
"RARB","3M"
"MAB21L1","3M"
"RGS16","3M"
"MN1","3M"
"CLDN1","3M"
"ANXA5","3M"
"ART3","3M"
"BCL11B","3M"
"PCDH8","3M"
"DAPK1","3M"
"LOC695143","3M"
"B3GALT2","3M"
"TSPAN15","3M"
"COL5A2","3M"
"THBS1","3M"
"SMYD2","3M"
"TRIB1","3M"
"NEUROD6","3M"
"GALNT14","3M"
"DGKA","3M"
"DNAJA4","3M"
"GRM8","3M"
"ENTPD3","3M"
"SERPINE2","3M"
"LRRTM4","3M"
"HS3ST5","3M"
"TLE1","3M"
"TLE4","3M"
"TWIST1","3M"
"LOC100427444","3M"
"C1QL3","3M"
"CALB1","3M"
"CARTPT","3M"
"DIAPH2","3M"
"HTR2C","3M"
"CIT","3M"
"JAG1","3M"
"TBC1D8","3M"
"CTNNA2","3M"
"LOC713110","3M"
"MAG","3M"
"MAL","3M"
"HDGFL1","3M"
"VLDLR","12M"
"PSRC1","12M"
"CRYGA","12M"
"EFNB2","12M"
"TAC3","12M"
"ANKRD6","12M"
"INPP5F","12M"
"NPR3","12M"
"FAT4","12M"
"MARCKSL1","12M"
"ARHGAP10","12M"
"KIF13B","12M"
"HAPLN2","12M"
"HSPA12A","12M"
"MOG","12M"
"LOC100424932","12M"
"SIPA1L1","12M"
"LOC719523","12M"
"C2CD2","12M"
"NCALD","12M"
"LOC711575","12M"
"CHSY3","12M"
"LGI3","12M"
"SH2D5","12M"
"LOC703549","12M"
"ADCY1","12M"
"LOC100424432","12M"
"MGAT5B","12M"
"LOC721262","12M"
"RBMS1","12M"
"GAB2","12M"
"CNTNAP2","12M"
"LOC714564","12M"
"LOC697171","12M"
"ZBTB7C","12M"
"LOC705851","12M"
"SORCS3","12M"
"PTPRF","12M"
"GRM3","12M"
"SLC24A3","12M"
"SEMA3E","12M"
"MCHR1","12M"
"HS3ST1","12M"
"EPB41L4B","12M"
"SULF2","12M"
"RORB","12M"
"TMSB10","12M"
"HPCAL1","12M"
"LOC717705","12M"
"BATF","12M"
"LOC713579","12M"
"SSTR1","12M"
"FAM117A","12M"
"MAPK4","12M"
"ID2","12M"
"LOC708928","12M"
"SYN3","12M"
"NFIA","12M"
"KIAA0748","12M"
"GRIA1","12M"
"TIAM1","12M"
"LOC702906","12M"
"SEMA6D","12M"
"PDGFRL","12M"
"LOC715864","12M"
"KRT17","12M"
"LOC574390","12M"
"S1PR5","12M"
"KITLG","12M"
"UMODL1","12M"
"LOC710350","12M"
"ZMAT2","12M"
"KLK6","12M"
"LOC714737","12M"
"ANKRD34C","12M"
"LAMB1","12M"
"PIP5K1B","12M"
"TSPAN14","12M"
"STARD13","12M"
"ERMN","12M"
"FAM110B","12M"
"LOC706473","12M"
"SH3RF2","12M"
"LOC699022","12M"
"LOC100428350","12M"
"LOC719763","12M"
"LRRTM1","12M"
"RCN1","12M"
"LOC721004","12M"
"DBNDD1","12M"
"CBR3","12M"
"NTNG2","12M"
"SLIT1","12M"
"PTCHD1","12M"
"EML1","12M"
"EPHB6","12M"
"CTBP2","12M"
"PLEKHG3","12M"
"SCN1B","12M"
"SEC14L1","12M"
"BOK","12M"
"PDE7B","12M"
"SMPX","12M"
"ARPP21","12M"
"RGMB","12M"
"LOC708409","12M"
"LOC705656","12M"
"CBLN4","12M"
"KANK2","12M"
"SMAD3","12M"
"SOX5","12M"
"TNFAIP8L1","12M"
"ENTPD4","12M"
"LOC706341","12M"
"RADIL","12M"
"EPHX4","12M"
"CLDN11","12M"
"CDKL1","12M"
"LOC100425265","12M"
"MEF2C","12M"
"TNNT2","12M"
"SCN3B","12M"
"LOC708755","12M"
"SLC35F1","12M"
"CRH","12M"
"SPARC","12M"
"CHRM3","12M"
"RASSF6","12M"
"FLRT3","12M"
"AFM","12M"
"RSPO2","12M"
"LOC100430565","12M"
"KCNA2","12M"
"PIP4K2A","12M"
"LAYN","12M"
"WFDC2","12M"
"HS3ST2","12M"
"LRRC3B","12M"
"EFHD2","12M"
"IFT57","12M"
"PDZD2","12M"
"LOC713545","12M"
"DPYSL3","12M"
"LOC100424818","12M"
"TMEM132E","12M"
"MYLK","12M"
"SYT6","12M"
"LOC708067","12M"
"DSEL","12M"
"GUCY1A3","12M"
"LOC713151","12M"
"LOC718143","12M"
"RASL10A","12M"
"LRRC55","12M"
"LOC717376","12M"
"PCDH17","12M"
"LTB","12M"
"ANTXR2","12M"
"GAD1","12M"
"LOC100425025","12M"
"LOC714010","12M"
"HSPB8","12M"
"MGST2","12M"
"NPY2R","12M"
"IPCEF1","12M"
"CHRNA7","12M"
"NPTX2","12M"
"LCLAT1","12M"
"LOC100426700","12M"
"VSTM2A","12M"
"LOC710387","12M"
"LOC697915","12M"
"LOC707198","12M"
"C14H11orf9","12M"
"MOBP","12M"
"LOC703950","12M"
"PDE1A","12M"
"HPCAL4","12M"
"DEPTOR","12M"
"PPFIBP2","12M"
"TAGLN2","12M"
"RPRM","12M"
"DYRK2","12M"
"DUSP4","12M"
"LOC100429112","12M"
"LOC716656","12M"
"LOC712485","12M"
"STAC2","12M"
"LDLRAD4","12M"
"TMOD1","12M"
"LOC100426535","12M"
"LOC694038","12M"
"SCG3","12M"
"ZCCHC12","12M"
"RASAL2","12M"
"SPATS2L","12M"
"HHIP","12M"
"TTYH2","12M"
"MAN1C1","12M"
"CMTM8","12M"
"LOC703544","12M"
"FAM19A1","12M"
"RIMS3","12M"
"LOC100423462","12M"
"TMEM125","12M"
"CAMK2N1","12M"
"LIMD1","12M"
"C13orf36","12M"
"LOC709320","12M"
"NRP2","12M"
"LOC707243","12M"
"CNP","12M"
"MRAP2","12M"
"PLEKHA2","12M"
"LOC695412","12M"
"TANC2","12M"
"PNMA5","12M"
"ADAMTS4","12M"
"LRRTM3","12M"
"PTPRU","12M"
"MAOB","12M"
"LOC713237","12M"
"VAV2","12M"
"LOC714966","12M"
"CHI3L1","12M"
"MAST3","12M"
"POPDC3","12M"
"CPNE4","12M"
"BHLHE22","12M"
"C1S","12M"
"KCNK1","12M"
"BTBD3","12M"
"KCNIP2","12M"
"MEIS2","12M"
"NXPH3","12M"
"HTR2A","12M"
"LGI2","12M"
"WNT10B","12M"
"EXPH5","12M"
"CXCL14","12M"
"LOC696649","12M"
"LPPR1","12M"
"ARL4D","12M"
"CSRNP1","12M"
"LOC712795","12M"
"DACH1","12M"
"DACT1","12M"
"PTPRO","12M"
"LOC716520","12M"
"TOX","12M"
"VIP","12M"
"FEZF2","12M"
"ZYX","12M"
"AK5","12M"
"SPP1","12M"
"STMN1","12M"
"KCNH8","12M"
"KLHL5","12M"
"PTPRT","12M"
"HS3ST4","12M"
"RARB","12M"
"MAB21L1","12M"
"RGS2","12M"
"ARNTL","12M"
"MN1","12M"
"R3HDM1","12M"
"CDK18","12M"
"CDH18","12M"
"ART3","12M"
"PCDH8","12M"
"EYA1","12M"
"FHL2","12M"
"B3GALT2","12M"
"COL5A2","12M"
"SMYD2","12M"
"NEUROD6","12M"
"CYFIP1","12M"
"SERPINE2","12M"
"ETS2","12M"
"FXYD6","12M"
"LRRK1","12M"
"LRRTM4","12M"
"TLE1","12M"
"TLE4","12M"
"TWIST1","12M"
"CALB1","12M"
"CIT","12M"
"LOC708601","12M"
"KAL1","12M"
"TBC1D8","12M"
"CACNG3","12M"
"ASAP2","12M"
"LOC713110","12M"
"FILIP1L","12M"
"MAG","12M"
"MAL","12M"
"TLN2","12M"
"HDGFL1","12M"
"MYC","12M"
"EXTL2","48M"
"PSRC1","48M"
"CRYGA","48M"
"EFNB2","48M"
"PTGER3","48M"
"TAC3","48M"
"LOC708561","48M"
"NPR3","48M"
"BCR","48M"
"HAPLN2","48M"
"DAB1","48M"
"MXRA5","48M"
"LOC709920","48M"
"LOC100424932","48M"
"SC4MOL","48M"
"RFX2","48M"
"LOC711021","48M"
"C2CD2","48M"
"LOC711575","48M"
"MATN4","48M"
"KCNB1","48M"
"FA2H","48M"
"SH2D5","48M"
"LOC703549","48M"
"GNG2","48M"
"RBMS1","48M"
"PRR15","48M"
"ABCC3","48M"
"LOC100424549","48M"
"ZBTB7C","48M"
"LOC712938","48M"
"OTOS","48M"
"HRH1","48M"
"SLC24A3","48M"
"SEMA3E","48M"
"EPB41L4B","48M"
"SULF2","48M"
"PDLIM4","48M"
"KCNG3","48M"
"HPCAL1","48M"
"LOC717705","48M"
"LOC713579","48M"
"HPN","48M"
"TSPAN9","48M"
"SSTR1","48M"
"GNB4","48M"
"MAPK4","48M"
"OLFML2B","48M"
"EFHD1","48M"
"KIAA0748","48M"
"GRIA1","48M"
"TIAM1","48M"
"LOC702906","48M"
"RDH12","48M"
"PDGFRL","48M"
"INPP4B","48M"
"KRT17","48M"
"LOC574390","48M"
"S1PR5","48M"
"ACVR1C","48M"
"LOC710350","48M"
"EMILIN3","48M"
"INHBA","48M"
"ANKRD34C","48M"
"STARD13","48M"
"FSTL5","48M"
"LOC708263","48M"
"LOC706473","48M"
"NR4A2","48M"
"LOC697272","48M"
"LOC100428350","48M"
"LRRTM1","48M"
"ENPP2","48M"
"RCN1","48M"
"CBR3","48M"
"NTNG2","48M"
"CNDP1","48M"
"LOC696006","48M"
"PIK3C2G","48M"
"SLIT1","48M"
"PTCHD1","48M"
"RASL11B","48M"
"EML1","48M"
"CTGF","48M"
"PDE7B","48M"
"SPARCL1","48M"
"HOMER3","48M"
"CLMP","48M"
"SMPX","48M"
"CBLN2","48M"
"MUM1L1","48M"
"TSHZ1","48M"
"CHGA","48M"
"RGMB","48M"
"STYK1","48M"
"ASPHD2","48M"
"WDR16","48M"
"LOC714577","48M"
"LOC100425402","48M"
"CBLN4","48M"
"NPAS2","48M"
"CTXN3","48M"
"SMAD3","48M"
"LOC712349","48M"
"TNFAIP8L1","48M"
"ST8SIA4","48M"
"CLDN11","48M"
"NR3C2","48M"
"ANGPTL2","48M"
"ELAVL2","48M"
"LOC100425265","48M"
"NXPH2","48M"
"SCN3B","48M"
"C1H1orf95","48M"
"SLC35F1","48M"
"CRH","48M"
"CRYM","48M"
"SPHKAP","48M"
"GLCE","48M"
"OLFM3","48M"
"LOC719721","48M"
"HS3ST2","48M"
"ARHGAP22","48M"
"ADAMTS8","48M"
"DPYSL3","48M"
"PHLDB2","48M"
"LOC100424818","48M"
"TMEM132E","48M"
"JPH1","48M"
"MYLK","48M"
"LOC715295","48M"
"SYT6","48M"
"FOXP2","48M"
"DSG2","48M"
"ASB5","48M"
"RASL10A","48M"
"LRRC55","48M"
"EPHA5","48M"
"LOC717376","48M"
"FRMD5","48M"
"PCDH17","48M"
"OLFML2A","48M"
"LOC720466","48M"
"MED8","48M"
"LOC714010","48M"
"ATP8B1","48M"
"NPY2R","48M"
"NPTX2","48M"
"LOC100426700","48M"
"LOC710387","48M"
"SP8","48M"
"LOC698292","48M"
"LOC703950","48M"
"PDE1A","48M"
"BCL2L11","48M"
"KIAA1244","48M"
"TAGLN2","48M"
"PTGFRN","48M"
"RPRM","48M"
"PCDH18","48M"
"LOC717880","48M"
"LOC709015","48M"
"LOC716656","48M"
"TMOD1","48M"
"LOC718015","48M"
"LOC100426535","48M"
"ZCCHC12","48M"
"TPD52L1","48M"
"MAN1C1","48M"
"LOC703544","48M"
"LOC718598","48M"
"FAM19A1","48M"
"AHI1","48M"
"RIMS3","48M"
"LOC701416","48M"
"LOC693405","48M"
"TRHDE","48M"
"LOC100428914","48M"
"MRAP2","48M"
"PLEKHA2","48M"
"LOC695412","48M"
"LOC713191","48M"
"LOC713237","48M"
"TYW1","48M"
"TMEM215","48M"
"PLCL1","48M"
"LOC714966","48M"
"VWC2","48M"
"SIPA1L2","48M"
"PDYN","48M"
"POSTN","48M"
"BHLHE22","48M"
"C1S","48M"
"HIVEP1","48M"
"KCNS3","48M"
"BTBD3","48M"
"KCNIP2","48M"
"MEIS2","48M"
"NXPH3","48M"
"HTR2A","48M"
"WNT10B","48M"
"SEMA3D","48M"
"MYH9","48M"
"LOC696649","48M"
"ARL4D","48M"
"LOC712795","48M"
"DACH1","48M"
"LOC716520","48M"
"TOX","48M"
"VIP","48M"
"FEZF2","48M"
"AK5","48M"
"ADRB2","48M"
"LOC100427765","48M"
"LOC720079","48M"
"SPP1","48M"
"KCNH8","48M"
"KCNS1","48M"
"ADAMTS19","48M"
"KCNN2","48M"
"PTPRT","48M"
"HS3ST4","48M"
"RARB","48M"
"MAB21L1","48M"
"LOC716252","48M"
"ARNTL","48M"
"RFTN1","48M"
"CD74","48M"
"CD247","48M"
"CD48","48M"
"ART3","48M"
"COCH","48M"
"PCDH8","48M"
"DAPK1","48M"
"EMILIN2","48M"
"B3GALT2","48M"
"SMYD2","48M"
"ADRA2A","48M"
"NEUROD6","48M"
"GRM8","48M"
"UNC13B","48M"
"TLE1","48M"
"TLE4","48M"
"TWIST1","48M"
"NTNG1","48M"
"LOC100427444","48M"
"CA10","48M"
"CALB1","48M"
"CIT","48M"
"JAG1","48M"
"ASAP2","48M"
"FILIP1L","48M"
"MAL","48M"
"HDGFL1","48M"
