NCX_E50	NCX_E70	NCX_E80	NCX_E90	NCX_E120	NCX_0M	NCX_3M	NCX_12M	NCX_48M	HP_E50	HP_E70	HP_E80	HP_E90	HP_E120	HP_0M	HP_3M	HP_12M	HP_48M	AM_E50	AM_E70	AM_E80	AM_E90	AM_E120	AM_0M	AM_3M	AM_12M	AM_48M	BG_E50	BG_E70	BG_E80	BG_E90	BG_E120	BG_0M	BG_3M	BG_12M	BG_48M	TH_E70	TH_E80	TH_E90	TH_E120
SLA	HAS2	LHX6	GREM1	S100B	SV2B	AGXT2L1	LOC694075	ST18	GNAO1	LOC678699	HAPLN1	TMEM100	CNTN6	OTUD4	CNDP1	LOC717104	GPNMB	LOC711021	MLC1	NTRK2	CD109	BMPR1B	SLC14A1	PRELP	LOC708874	RSPH1	HMP19	LOC716670	ZMYM6NB	ARHGEF3	C3H21orf62	MED23	CRYAB	PLAG1	AKR1C1	PROK2	LOC100429485	LOC100425851	MRVI1
LOC715581	CNKSR3	C1GALT1	GRIK1	TMEM14B	YWHAH	IFIT1	HSPBAP1	LOC699332	NPTX1	MYO16	FAM198B	LOC717240	ITPRIPL2	LOC100428250	MAG	AGXT2L1	LOC702233	BHLHE22	LOC709676	THSD7A	PTPRU	SPARCL1	MEPE	LOC719523	LOC716117	ST18	ODZ2	FAM198B	ACVR1C	LPAR4	AGT	UGT8	ADAMTS1	HTR2C	LOC717240	SLC24A2	CCDC80	LOC718187	PARM1
LMO3	PDGFRA	LOC100428777	MYBPC1	TPPP	GABRA4	LOC701314	AGT	ERMN	GABRA2	NXPH1	GATM	CD74	RORA	LOC100424432	LDB3	ZNF502	RSPH1	GRIN3A	PMP22	LOX	MAT2B	CYP1B1	UNC80	FGF1	DDX26B	SCIN	ERBB4	STAT4	LOC693505	FGF1	CAPSL	OTUD4	NDRG1	LOC713110	CYB5D2	TIMP3	PLAT	PTGER3	SPP1
SH3RF3	LOC712107	LOC713016	TAC1	PLCD3	HBB	RASD1	CRYAB	HSD11B1	PCDH20	LOC713237	RGS4	LOC693611	LOC707227	PRKCQ	TESC	IGFBP5	LOC722479	SEMA3C	MYO16	KLF9	SERPINB13	LOC711525	TRIM22	CRYAB	BTNL8	GPR37	LOC694086	S100B	KLF9	SLC39A12	WDR16	CLDN11	OLAH	POPDC3	MAMU.DPA	AQP4	SOX9	CRTAC1	ETV6
PCDHA6	SCRG1	GAD1	WDR35	MT3	RERGL	RGN	HSPB8	GPNMB	SYNPR	PRSS12	LOC712710	PLCD3	AIFM3	CPLX1	LOC721812	LEPR	PDE8B	ADAMTS3	NTRK2	FST	PSMA1	RASAL1	LRMP	LOC713855	SLC14A1	LPAR1	DRAXIN	LOC703140	LOC697012	LOC696317	LCP2	NCEH1	ANXA1	NTN4	BNC2	PRICKLE1	NTRK3	LOC696317	COL1A2
NPTX1	LOC713237	THSD7A	LOC696317	CRTAC1	LOC706977	NQO1	LOC710213	TNFAIP6	SNCA	LHX6	LOC715993	FGF1	ABCA7	UGT8	MOBP	MRPL44	LOC100424724	LOC695487	MUC4	TLL1	LPAR4	ACBD7	CPT1A	PAQR6	S100A6	RBM25	PTPRR	PDGFRA	PEX3	LPL	ITPRIPL2	CPLX1	SPP1	ANXA4	LUM	LOC709676	FST	LOC704858	LOC100425879
CHL1	LOC717747	LOC100430777	KANSL1	MYBPC1	SCN8A	FREM3	METTL7B	ALG10B	LOC100428796	LOC100430777	PMP22	COBLL1	NCALD	SLC7A14	CD52	LOC719863	RNF6	AKAP2	CALCRL	C1GALT1	AGAP1	FGF1	LOC100424724	MAG	SH3RF2	TNFAIP6	LOC695315	LOC100427444	ITPRIPL2	AASS	SLC44A3	CA2	ANLN	ANLN	ASB8	EDNRB	CXCL14	LOC100429949	AIFM3
CRYGA	BMPR1B	CCBE1	UNC13C	CNTN6	PIP5K1B	ANXA11	LOC722401	LOC716633	ELMOD1	WIF1	KLF9	CST3	NTNG2	LOC707387	CES2	C1QL3	KCNJ9	WWC1	TIMP3	PRSS35	RALA	IFIT3	LOC709080	OPALIN	ANXA4	PDE8B	GAD2	ATP1A2	CEP44	LOC704341	ERMN	DOCK10	MAL	ITGA8	SLC7A9	VEPH1	PDE10A	MYBPC1	ANGPT1
KCNH7	PRSS12	LOC100423985	AASS	LOC100424015	KCNV1	CRYAB	LOC714251	S100A6	DLX2	THRB	COL19A1	COL3A1	S100B	LOC697570	TXNL4A	JUN	FAM70A	KLHL1	EDNRB	ASB7	KRT20	MT3	LOC100428250	PON3	GPNMB	ASB5	ACVR1C	LOC707129	ASB7	COBLL1	LOC699046	RGS4	SERPINB1	LPAR3	MAMU.DPB	LOC716854	LOC698852	LIG4	CXCL14
CNTN1	TNC	FGF12	KIF13A	SCG2	VIP	TNNT2	GRIA3	CST6	SH3RF3	CXCL14	FGF1	GJB2	IFIT3	UNC80	MYBPC1	CAPN14	LASS4	FAR2	HAS2	CEP44	LRP2	GPC5	IFI44L	PDE8B	SCN7A	HBB	KLF8	SLC1A3	ZNF281	ARAP2	LOC710350	LOC711458	NTSR2	LOC711458	HTR1D	SOX8	LOC100429055	DPY19L2	OGN
