NCX_E50	NCX_E70	NCX_E80	NCX_E90	NCX_E120	NCX_0M	NCX_3M	NCX_12M	NCX_48M	HP_E50	HP_E70	HP_E80	HP_E90	HP_E120	HP_0M	HP_3M	HP_12M	HP_48M	AM_E50	AM_E70	AM_E80	AM_E90	AM_E120	AM_0M	AM_3M	AM_12M	AM_48M	BG_E50	BG_E70	BG_E80	BG_E90	BG_E120	BG_0M	BG_3M	BG_12M	BG_48M	TH_E70	TH_E80	TH_E90	TH_E120
TM2D3	LRIG1	ECI1	MDM2	CYP1B1	KLHL3	TGFBI	MIF4GD	AMMECR1	TBC1D30	CACNA1C	PDZD2	PLP1	PON3	PHF15	SOCS4	TM4SF1	PPP1R13B	SSH1	ERMN	C2orf3	BBOX1	LOC695315	CFL2	LOC100430870	HSPB6	NEU1	CRYBG3	NHSL1	TMEM230	KCTD12	LAMP2	LOC717346	MRPL23	MAP2K6	TLR5	CMPK2	TPMT	RGS14	LOC697570
LOC701416	SERPINB13	BARD1	MEIOB	C19H19orf25	EPB41L1	LOC100427196	LOC703329	LOC715793	TGFBRAP1	ZHX1	FZD8	LOC710830	KCNJ16	PJA2	LOC694135	LOC710444	TCF25	MYRIP	B4GALT6	TTC12	ALDOA	ATP5D	SPTSSB	PFKFB2	RAB3GAP1	GPR22	TP53INP2	LPCAT1	SEPP1	SPINK5	KANK1	LOC712291	CALCOCO1	THUMPD1	LOC698283	LOC100428769	MYO5A	LOC717900	LGI2
LONRF1	LOC100425879	PTGER4	LOC714564	ATXN1	LOC713180	RABIF	BAG4	LOC100423404	DNM1L	LOC100430236	KCNS3	LOC717024	CACNG3	EPHA6	CPVL	DMXL1	LOC707463	NSMAF	C13orf36	FZD8	PBK	LOC709445	NDUFAF4	PRR13	NCOA2	CLPTM1L	LOC697910	PLAU	LOC709915	PERP	SCRN1	LOC714372	TRAPPC2	RNF138	AGFG1	KYNU	TMF1	ANXA7	CTSB
HEATR5B	ARL6IP6	LOC100424015	CAMSAP1L1	LOC707075	GDE1	F8	ZNF334	NT5DC1	ADCY5	VPS39	UBL3	LOC710423	NDRG2	LOC710307	HSPG2	LOC715769	ZC3H14	SLAIN2	GATA3	LOC700406	CLIP4	TRIM39	LOC706967	SRXN1	ZNF385A	LOC100424656	LRRC8B	AK8	NOS1	HTR1D	NEK10	MAPK1	LOC721973	TGFBR2	LOC717276	TCF19	LOC710818	S100A1	NAPEPLD
LPGAT1	LOC100427184	DIMT1L	SLC39A7	CACNA1E	ALKBH5	GRM2	SLC45A4	SRFBP1	ARHGEF6	GLS	UHMK1	MAPK11	LOC714966	SLC4A8	LOC698067	ZNF146	KIF1C	CORO2B	LOC100430657	ZNF502	IREB2	LOC100430693	LOC721604	CPNE3	LOC708459	LOC709676	LOC100427810	VAMP2	TFAP2C	ASTN2	CNDP2	C7H15orf61	EML1	EYA1	ADAM23	CD82	NMI	KIT	LOC710619
LOC712107	CAV2	LYN	FBXO15	LOC100426044	PRICKLE2	PRICKLE1	TSPYL1	LOC694823	DLGAP1	APOE	STK38L	LOC100430978	LOC722157	DDX19B	FAM78A	TIAM1	SPATA2	NFE2L2	ADRBK2	CNP	BMP6	TDP1	COL4A5	FAM149B1	PF4	METTL3	HEPACAM	SH3D19	PIP5K1A	MAPK8IP1	ASAH1	LOC100424740	EIF5A2	SLC35A1	WARS	HS3ST1	ITGA6	ARL6IP1	MAPKBP1
MARCH3	DKK3	RBM27	TNFAIP8L3	AGXT2L1	UROD	PLS1	CAP2	GPSM2	BACH2	KLHL26	BNIP3L	ARL13B	LOC702452	LOC722401	GADD45G	LOC720183	RSAD1	LOC100424500	LMNA	LOC100423317	WDR18	IAH1	UQCRB	C13orf15	RPH3A	EPHA4	LOC705639	LOC100424560	GABRB1	C14H11orf9	ICAM1	BCAS1	SNX15	NDST3	AMIGO1	LOC703827	PDE1C	GLRX5	ABI2
RUNDC3B	KCNMA1	MPP2	ARID4B	SPOCK1	SLC1A1	FAM210A	ENPP4	LOC721855	LOC711416	CDC42EP3	LOC100428617	HIVEP2	AARS	CCPG1	CORIN	LOC715793	RPS6KL1	LOC705906	DTD1	MEX3B	EIF2C3	AKAP2	LOC100427629	LOC719150	AFM	AUH	CADM3	DEAF1	PRMT3	LOC714325	ATXN7L2	ACRC	EIF3B	C20H16orf72	PTPRF	ORC6L	NUFIP2	SLC16A10	RAP1GDS1
STAU2	SECISBP2L	LOC722617	ZNF280C	PAM	KIF5A	DAZAP2	NHEDC2	ENOSF1	LOC716252	GBE1	DHX32	LOC696742	MITF	SNRPD1	TMEM50B	TNFAIP6	PI4K2A	ANK3	DNAJC6	PHACTR1	FEM1A	UBE2Q1	ZFPM1	DDX24	ZP2	C5orf35	LOC100426795	SPTSSB	SORBS2	COL21A1	IGSF11	PER3	NFATC1	WNK3	TARSL2	LAMB2	LOC716986	SLCO1A2	DCUN1D3
RB1CC1	FAM176A	KHDC1	ARHGAP6	SNIP	GPLD1	LOC100425156	LOC709169	DPEP1	HCFC1R1	PDZD4	RUNDC3B	KCTD4	ERCC5	LOC703488	RXRA	NCOA7	SH2B1	GAB2	ARHGEF3	WIPF1	ZNF599	ATXN1	BRE	ARHGEF3	GRIN2C	AUTS2	CACNG2	MME	POLE2	TRIM24	PHKA1	LOC714083	LOC694640	CENPC1	CTTN	LRRK2	GABRA1	PADI2	MAP2K5
GNB1	ELMOD1	BOK	HENMT1	LOC100424560	NELL1	ESRRG	GOLGB1	ELF1	DEF8	CPQ	LOC705570	LOC708755	LOC714026	AGPAT1	CDC6	RAB27B	LOC717842	TIMP3	C20H16orf87	LOC696872	ZNF385A	MRC1L1	CD36	ARHGAP12	GIT1	EPAS1	LOC722170	ARHGAP32	LOC707198	TYROBP	USP53	CNKSR2	NUPR1	LOC711218	NLGN2	COA1	CHAC2	TMEM63A	L3MBTL4
ATAT1	GLT8D2	PTPRT	RELN	ACTR3B	LOC100430610	COL16A1	LOC704762	INTS10	LOC100429613	NFE2L3	LOC100429676	LOC721687	LOC714564	FAM3C	POLR2G	FAM190B	LOC714521	FRMPD4	NOS1AP	GPAM	CDH12	COPS7A	PPT1	CALCOCO2	FRZB	CTSO	XPR1	LOC693611	ARFIP1	PPM1A	NECAP2	MTHFD2L	LOC703549	YPEL5	NGFR	POLR3E	EHD4	DOK6	LOC699110
RAD21	CASP3	PRKACB	CPS1	APBB1IP	PIK3R4	LOC697202	LOC708599	LOC716408	SLITRK1	KRT20	CHN2	ABO	HERC2	LOC716636	LOC712701	KLHL3	LOC707681	PER2	GALNT5	TP53INP1	ASTN2	ANKRD9	MYCBPAP	PRDX6	EVC2	ACOT9	TBC1D2B	SESN2	LOC709275	ARHGAP6	IGFBP5	EPAS1	DKK1	C9orf125	LOC716334	LANCL1	AMOTL2	LOC710796	DLC1
PACRG	BMPER	BIN2	MEF2A	SLC38A7	ZNF215	LOC704204	LOC699417	LOC697272	PACSIN1	FAM91A1	MAP3K2	LOC716641	LNX1	CSTF1	GSX2	IFT57	LOC722620	LOC701698	TSPO	ATM	ZCCHC4	CPLX3	PPP2R2C	GAD2	COMMD10	RDH11	LOC100427905	LOC703641	LOC722623	LOC704143	WFS1	GRAMD3	MS4A7	KDM3A	RPL27A	CEND1	LOC714084	LOC700636	CKB
DCAF5	CPEB2	HNMT	NR1I3	LOC100428796	TMEM22	LOC721004	RAB3GAP1	REL	LOC713398	FAM3C	LRRK2	LGALSL	KCNJ6	TUSC1	BAIAP2L2	TCN2	SLC5A11	AKTIP	COL1A1	LOC714723	LOC721849	LOC716462	HMG20A	RGS14	TTYH2	FAM20B	FAM13B	NOV	TDP1	ZNF181	TXNIP	LOC717481	LOC719609	LOC707795	LOC100426042	LOC714702	SLC27A6	TSGA14	MRC1L1
NFIB	MAATS1	LOC713540	LOC100428359	MGARP	GPR126	UQCR	LOC100424082	GPRASP1	LOC709196	LOC711681	MGAT4A	LOC100427012	NAT9	SLC25A4	LGALS2	CALCOCO2	KIAA0232	TNRC6C	IL17RD	ROPN1L	ARMCX5	ZNF160	ANKRA2	OPA1	CBR3	LOC100429551	FBXO11	MAPKAP1	MIA3	SPTBN1	ABCA3	CDKN2AIP	LOC715145	LOC721400	LOC721917	CPNE9	ZPBP	ATF7IP	TSPYL1
PITPNM3	G0S2	TPMT	RAB27A	PDLIM4	PDGFD	FLRT1	PHF20	LOC703827	ZZEF1	LOC100428139	DAAM1	LAMB1	LOC100429846	LY75	EBLN2	LOC713572	LOC706461	CRABP1	GLRA3	DRD5	COX11	NOL9	ADORA2B	KDM3A	KIF18B	NSUN2	ALK	SYBU	SPOP	WASF1	DRP2	LOC100424356	F8	TLR8	WBP2	LOC100428333	OTUD4	HPDL	LOC700450
CAMK4	GRAMD3	LOC705921	IFT88	ECI1	LOC100430672	LOC708681	PELI2	PKDREJ	STXBP1	NPY5R	UST	RIPPLY1	BSCL2	INO80D	AGPAT3	LOC100428010	PRUNE2	ARX	NEIL1	LOC694390	NEDD1	SLC7A1	NSF	ATP6V1H	RFC3	LOC701621	S1PR2	LOC710999	DENND1A	LOC100429485	SIL1	LOC710882	MAP3K5	KLF8	LOC722115	UMODL1	CPNE4	LOC574102	DUS1L
AKAP9	TLE3	LOC717346	EFHD2	LOC100425350	FREM1	TANC1	ILK	UPK1B	HMGCS1	YPEL4	BTBD3	RFTN2	ACVR2B	EPB41L3	RPL31	ANKRD34C	LRRTM1	LOC100425533	CMTM5	SPTLC1	RAB3A	GRB10	ZNF518A	LOC701145	LOC100425086	LOC100430420	GDI1	CGNL1	LECT1	IFRD1	SLC12A5	AKAP6	POLE4	USP46	CALY	TNIP1	LOC100426774	ZBTB9	NUDT3
SPATA2	STAM	LY96	RAPGEF5	BCAP31	TNMD	LOC100424543	MAOB	BTG4	BRSK1	FNDC4	LOC714084	CPLX1	LOC716385	PPFIA2	RBKS	GMCL1	CCNI	ARL4A	LOC722155	OGFRL1	THBS2	PAGE4	ATG2B	EMB	LOC694437	CNTLN	LOC698953	PCNXL2	LOC701314	MYCL1	RNF150	NLK	C20orf46	TRAPPC6B	KCTD2	TAGLN2	FAM210A	ZDHHC1	NCEH1
TGFB2	DOK6	SLC2A13	WDR43	PTGS2	DCAF16	GLRB	SGSM1	MRAP2	NACC2	LOC722786	FADS3	ABCB6	C19H19orf25	EEF1E1	SGK3	PRICKLE2	LOC717808	MARK2	IRX3	SDR16C5	IPO13	VPS41	LOC100428419	JPH1	LOC716331	AZI2	HSPB11	IL17RD	LOC708104	LOC574102	FNDC1	PANK4	LOC717086	FEM1B	LOC695315	LOC100425025	LOC100428682	ZMYND12	LOC713154
NCOA6	ELF1	GDNF	EFHC1	LOC715782	INSR	LOC709358	AGTR1	TUBGCP5	LASS6	GLG1	LOC694075	KANSL1	PYCR2	LOC100428490	LOC722045	TRIM22	PSMD3	LOC711254	THBS1	ARFIP1	LOC710493	ACSS2	ELOVL1	PTGFR	LOC698941	DYNLT3	CAMKK2	LOC716093	NXPH2	KLHL5	SIPA1L1	C2H3orf80	DHRS11	LOC700766	UBE2O	GFPT2	ACVR2B	LOC713391	LOC694819
PTPRZ1	CNTN5	SSX2IP	ARHGEF6	LRRTM4	MAGEE2	COL4A5	LOC712386	PDLIM5	C4H6orf89	ISY1	TLK1	SOX2	ACSM5	MPPE1	TMEM102	GDAP1	LOC695591	SLC30A4	LOC715723	ANKRD9	TRIM49	STK24	ACRC	RNFT1	LOC712320	RNF180	MPHOSPH10	KLRC1	SPON1	ALCAM	RBKS	NOS1AP	AAMDC	IQGAP1	FLRT2	C9H10orf10	LOC704382	IRF2BPL	JOSD1
DUSP4	LOC718424	PRKCSH	LOC713582	NDRG1	SCN7A	KNDC1	STAT4	LOC697236	LOC693737	LOC722507	ADAMTS19	FAM174A	LOC709087	ABT1	TACC3	ECHDC3	RORA	HMGN3	TUBA4A	LOC712442	FLI1	KCTD14	HIGD2A	MYSM1	LOC696169	RAPGEF4	IK	CPEB4	LEMD3	RASAL1	LOC716580	TWSG1	RRP7A	NRCAM	MEOX2	LOC715858	ARHGAP26	GJC2	CPNE3
GAP43	ABCA12	EGFR	RAB5C	ATP6V1H	F8A1	ABCC5	RTKN	HELT	ZNF148	TNIK	CLVS2	CHRNA1	XAF1	KLHL23	LOC100426768	LOC100430672	EGFL8	EEF2K	MANBA	CTBS	LOC702232	PLEKHA2	LOC100428896	HEATR7B1	MATN1	TXNDC12	PPARGC1A	LOC705778	LOC697532	SLC16A14	SRGN	LOC720005	FN3KRP	C8orf34	PPAPDC1A	RGN	LOC722627	RALGPS2	UNC13A
LOC716854	RERG	EFNA5	SLC36A4	FBXW2	LOC713151	GRPEL1	LOC722738	ODF4	NDFIP1	XK	LOC704283	ODZ1	HADHA	ADHFE1	SDCBP2	MCTP1	PCCA	SYNM	LOC717276	LOC717968	LOC712879	FTSJ3	PTGS1	LOC704080	LOC721744	CRBN	KCNMA1	FAM91A1	LOC697881	C13H2orf70	MYO5B	ADAMTS6	DNAJA4	LPGAT1	CEND1	BMP7	CRY2	CMPK2	LOC100425025
USP11	ISG20L2	SNIP	MOBP	OPCML	LOC716824	LOC698659	GLT8D1	ZNF292	ZMYM6	CASP3	RNPC3	PMP22	UQCR	STOM	LRRC36	TSHZ1	TSC22D3	TMEM26	LOC706961	UBA6	TRIM8	LOC722577	SEC61A2	TRAPPC1	LOC707341	NFE2L2	KIF1A	RASGRP2	TSPAN12	CAMK4	C4H6orf52	SYNJ1	WDR11	LOC710387	HEMK1	AAMDC	NADKD1	ARID4B	LOC719023
MCF2	SLC35F1	DENND1A	RSPH1	P4HTM	ATP1A1	JHDM1D	RMI1	CDHR1	KCNMA1	CAMTA1	SPATA5L1	PLEKHA1	MLC1	LOC715440	HSP90AB1	LOC700889	VAMP2	LOC719662	LOC718426	LOC100424988	NGFR	ABCB6	CD109	TMED5	KLHL34	CNOT7	SLC35D3	LOC709535	CRISPLD1	FUT10	LOC720589	MLF2	C3H21orf91	ZHX1	ST18	CHST15	HTATSF1	AFF1	STK39
LOC711525	IGFBP7	SH3RF2	TSPAN33	LOC715099	ANO3	BLZF1	LOC100430361	GOSR2	LOC718355	SLC35F2	LIX1	ZMAT1	ATP13A1	ACO2	AGGF1	MRC1L1	LOC708903	LOC100428522	FAM69A	LOC710209	PLEKHA1	RDM1	CHST12	FZD4	IGF2BP1	LOC696925	DLGAP4	LOC695383	LOC696981	TM4SF1	LOC713191	LOC714862	ZHX2	STXBP3	SDC2	POLR2G	LOC708688	LOC712710	RTCD1
CNTN3	LOC100429666	RIOK1	CNTN4	PTPRR	DBC1	TRIM23	LOC694125	MID1IP1	LOC100425533	IQSEC1	DIAPH2	DDX55	LOC718873	DDC	IFNAR1	LOC715891	DHX57	ZNF131	NRG4	C4H6orf62	FRMD3	SAT1	ERMN	ZNF267	SH3PXD2B	C15H9orf72	TRIM36	PDE4DIP	COL3A1	LOC100425025	LOC709352	BSDC1	ACO2	LOC716587	P2RY2	LOC705696	FIGN	ROCK1	LOC705675
FAM126A	C8H8orf4	CHST2	LOC100426317	UNC80	STYK1	CCDC69	SLC7A14	LOC721140	LOC100427905	ZNF804A	SPRED1	LOC706961	HPS5	MASTL	DBF4	ENHO	LOC720147	IPO9	LOC716453	TNC	DCDC2	TMEM50B	IL18	FAM189A2	LOC100428162	MDH1B	LOC703625	B4GALT6	NR3C2	LPPR1	SYNM	PMS1	LOC722345	NUDCD1	IGSF1	LOC100426484	FAM69A	LOC711298	SAT1
HERC4	LOC717346	LOC703625	GPRIN1	HDLBP	LOC716399	WNT10B	TMEM50B	TMPRSS9	LOC716385	DSCAML1	MYCBP2	ICA1	KCNS2	ATP11B	LYZL4	EIF4H	SLC40A1	GCG	C5AR1	ENPP4	ABCA7	SDPR	PPAPDC2	LOC714277	CRB3	CHAC2	CHD3	LOC713322	ACVR1	NUF2	DCTD	IPO8	TFAP2D	ABI1	MRPS9	BCAP31	LOC695278	SCN2A	B2M
ZNF711	LOC100425156	SRPX2	ERMN	PCDH17	NR1I3	LOC718651	FCGR2B	LOC714876	APLP2	LOC697414	LOC711340	GPR116	ITPKA	PEX26	TPPP	PTGES3	DLGAP2	VPS35	EFNA5	PHF20L1	LOC100426798	ANTXR2	LOC714251	ABTB2	CHP1	PHF14	LOC100423084	SERINC5	ZCCHC10	ABO	LOC710283	LOC100423098	APBB1IP	TLE4	GARNL3	RYR2	LOC713204	FGF2	TRAF3IP2
DFNA5	PKD2	LOC721789	ZCCHC8	FADS2	C9orf4	LOC100429129	ABCB6	CCDC132	CPLX1	PYGL	DARS	TRAF3	ACCN2	LOC716670	USP39	NTN4	SLC7A9	TMEM5	LOC704960	FAM84A	ITM2A	GFM2	LOC696228	XPC	LOC697721	TVP23B	LOC100425149	RAB7L1	ST18	GPR64	DIO3	LRRC8D	RPP14	TMEM27	C3orf31	LOC721549	CDK17	ZNF430	DUSP4
PTH2R	UBE3C	CADM2	C14H11orf1	SYNJ1	SIP1	GALNT13	ROR1	LOC720563	LOC715781	LOC100428350	TGFA	ELOVL3	FAM60A	STRN4	LOC721508	CGRRF1	STARD10	GNB1	SEMA4D	LOC713835	RIPPLY1	SNPH	ANKRD40	SENP2	UPK1B	GOLGB1	LOC100427251	G0S2	CACNA1D	NAMPT	LOC100423269	GOSR2	SSTR2	DCDC2	LOC714684	TSPAN1	CTBS	LOC100429804	LOC712386
FHOD3	RNASE1	FAM69A	ADD3	DCDC2	LOC100427578	PDE8A	LOC714529	DLL1	PPP3CB	MSTN	CX3CR1	IFIT2	PIP5K1B	KCNAB1	ATP6AP2	LOC695153	PPRC1	IFT88	LOC715820	TMOD3	LOC694125	LOC708552	GCH1	ZMAT3	LOC695599	IQCE	SYNGR3	LOC707654	FAM210A	BTAF1	LOC717758	FAM49B	LOC706465	GLMN	SPR	ADPRH	LOC100423832	DNAH6	LOC713783
LOC100430928	SYCP3	CA9	COX16	LOC721611	WNK2	C4H6orf130	ZFY	UPB1	KLHL18	LOC693611	LOC696056	ANKRD50	FADS2	TRIM33	SCN1B	KCTD7	VSTM2L	GRM3	ETFA	LOC714407	VEGFA	VCAM1	LOC713785	TTC23L	IGIP	ZMYND17	MMP16	TMEM20	ADAMTS19	TMEM30A	ENPEP	CSRP1	LOC722157	HAUS6	CLN6	NPC2	LOC713854	CDCA3	LOC719122
PPIG	LAMA1	IKZF4	LOC696389	GRAMD3	YIPF5	KALRN	SERPING1	DNAJC10	IMPA1	SERINC1	EPM2A	LOC712107	DCUN1D3	LOC697236	DMRT2	METTL7B	KLHDC8B	GALNT14	HTT	GPX3	COL4A4	LOC708267	CLIP4	LOC696692	ADAM21	CAT	PHYH	FOXJ1	LINS	LOC100429949	PCDH9	FARSA	TEX264	OTUD7A	LOC100423814	RASSF5	CD82	TWSG1	ADAP2
SMEK2	EGFL8	LOC100430310	OPCML	LOC717245	AACS	ANKRD9	INSM2	LOC716641	KIAA1486	LOC704283	LITAF	IAPP	LOC100430932	LOC717773	ARHGEF17	PHYHIP	LOC706585	OCEL1	NCKAP5	SP1	GCDH	CADPS2	LOC100430627	ZNF189	OAF	OGDHL	YIPF4	TRIM49	NETO2	BST2	SNX7	MYO5C	S100B	CGRRF1	ALDOA	GLT8D2	RAP2B	TTC14	ARNT2
NT5C3	LOC715942	LOC714577	LOC703685	PINK1	ZNF274	LOC694878	LOC698043	LOC713250	OPTN	SNAP91	LOC709646	LOC705419	FA2H	DIRAS2	C4BPB	STXBP1	XRCC1	CREBBP	WFS1	C6orf192	ABO	RASGRP2	LOC714851	BCAP29	PLEKHO2	SSH1	IQCA1	DLG4	GEM	LOC100423727	ANXA11	HSP90B1	LOC100424432	CEP70	LOC100423696	TGFB1I1	FAM163A	PDCD6IP	LOC710179
NLGN1	RFXAP	CDK13	PROP1	TBC1D8	LOC100425364	RAB28	EIF2B1	KCNK5	ZNF540	KRBA2	THNSL1	LOC712386	IFITM1	AP4B1	LRRC3	DKK3	LOC100423109	LOC709436	SPRY1	PTAFR	CDH19	C11H12orf26	LOC100427368	TRPM3	LOC100425636	ACPL2	LOC710912	FAM69A	DNAJC10	AS3MT	LOC701085	CEP192	NPTX1	LOC100430870	LOC714315	LOC721483	CBLN1	HAS2	APOE
ATMIN	LOC700888	GFRA1	KLHL13	LGI1	AARS	CHRNA7	LOC719963	PANK1	PTPN1	FAM174A	GUCY1B3	ROGDI	FGF11	TIAM1	LOC697073	TGFBR3	VPS72	PARP11	ATP6AP2	TTC30B	SLC6A15	UNC93B1	PHF15	DLD	LOC702143	PCDHB14	LRRTM3	CAPN14	NDFIP2	LRTM2	ABHD12B	LOC708451	PKIB	SLMAP	CCDC92	C7H15orf57	LOC704762	FTSJ2	FBXO32
CD200	LOC716268	ZSWIM6	LOC712710	AHI1	APLP1	LOC100428250	CCDC22	HLX	PDE9A2	ALKBH4	RAB22A	ANK3	TTC1	ARMCX5	CENPW	C8H8orf46	FUT10	SULF2	LETM2	KCNA1	LOC703497	SERTAD2	LOC709300	RHCE	NUPR1	MAN1A1	TP53I3	MB21D2	LOC697097	PDCD4	LOC712341	ABRACL	SESN1	BTNL8	DMPK	CHRDL1	PLCD3	VRK1	FAM82B
PPP3CB	FAM101A	ERC2	PARM1	PPEF1	OXR1	ANTXR1	LOC697760	LOC716728	LOC708386	TMEM215	MCF2	TRIB1	TRIM10	ZMPSTE24	LOC708681	FMO4	H2AFX	LOC711108	KCNC4	FAT4	WFS1	GABRB3	APOL6	PFKFB3	NUAK1	VAMP7	NAPG	LOC696315	ARL5B	PHC3	LOC698081	SLC25A37	RAB27A	RNF111	F11R	ANK1	RIMS2	DGKB	LOC100425713
MYO16	ELL2	SERPINE2	LOC719616	BDNF	ADARB1	LOC100429949	LOC702990	LOC710307	LOC693954	CRTC1	CISD1	IRF3	TMBIM1	PTPRM	C20H16orf70	SIK3	C7orf36	DBNDD1	PKP4	CYBB	C1QL1	PSAT1	ITGB5	PIP4K2A	LELP1	TIA1	LOC721654	BTNL3	NME7	LOC708601	LOXL3	ALDH1A2	FAM162A	KLHL7	LOC715130	NOL6	SST	RPA3	LOC705967
CACNG3	GATA3	DDAH1	CLIP1	SDK1	UHRF1BP1L	CCDC41	EPM2AIP1	GLUD1	GRLF1	PPP1R9A	CES2	SLC36A1	AQP3	LOC718513	AMD1	ATP6V1B2	SDC4	RAI14	UBE2J1	RORA	CRHBP	DERL2	C5	LOC695784	LOC712734	FAM91A1	GRM1	SYN3	LOC715194	LOC696802	ODZ3	BPGM	ECI1	LOC100426334	DPM3	TCF7L1	HMMR	TEK	SEPT8
LRIG2	LOC716922	NT5E	C5AR1	ZMIZ2	HRH3	PAH	PLAC8	HNRNPF	TOM1L2	RAI2	LOC703827	HENMT1	FAAH2	SRPR	ARHGAP11A	GNPNAT1	LOC710647	TANC2	RGMA	NFIX	MAGEE1	PROM1	LOC100429485	DBNDD1	PRICKLE2	LMBRD2	SYT11	ATP2B1	COLEC12	GADL1	FBXO7	OMD	SEPT5	ZFC3H1	TIE1	SRSF5	AKAP2	FAM110B	LOC717612
DPP3	LOC705519	PYCARD	DOCK10	SETD3	LRRC57	LOC710702	LOC693561	GPR22	NFIL3	TTC7A	LOC100428487	ENPEP	P2RY1	LHX9	LOC722628	BDP1	R3HCC1	LOC719023	TIE1	TMOD1	AFTPH	ITGA6	PDZK1	LOC100430420	PGPEP1	LOC715193	CAMK2N1	SCML4	SF3B14	SOCS6	SYT11	IL17RB	ZDHHC8	CLGN	LOC693599	UBE3C	PPP1R12A	PUS10	MEGF11
LOC696739	LOC719305	PCMTD2	LOC719341	ITPKB	ADAMTS1	PPP6C	LOC718848	STAT5A	CHGB	LOC711847	HSDL2	THAP1	NEK9	MEGF10	LRRC40	FHL1	PRKAB1	NPY5R	LRMP	ELMO1	CNKSR2	LOC719082	LOC721886	TMEM91	KLHL17	LOC697160	MAST2	THY1	TMEM45A	LPHN3	SPATA22	DNAJC25	SMCR7L	SYT1	MEPE	NUDT5	TSEN2	ZNF184	MAOB
SUV420H1	LOC693771	LOC701463	DCAF12	WDR7	CLIP3	ADARB1	ZFYVE9	EGR3	FBXO25	CHST7	FBXL4	CEP152	ANKS1B	UBR5	LOC701503	TMEM155	LOC711764	SATB1	EPCAM	SMC4	IGFBP5	RPA2	RALB	LOC701579	LOC711809	ZNF658	CSRNP2	UBE2J1	CDK6	LOC701037	PHLPP1	LOC694661	CLP1	PRKD3	PEX26	FAXDC2	MXI1	ZNF385A	LOC100424302
UGCG	STAT4	RPP25	UBE2J1	DCTN1	TM4SF18	DTD2	C9H10orf120	PLEK2	NAP1L5	LOC694650	PAM	COL14A1	MRC1L1	LOC717240	LOC719492	LYRM9	TEX264	SIPA1L1	LOC709988	LOC717555	NME7	GPR37	NACC2	SNTB1	PPIL6	RRNAD1	LRRTM1	CHI3L1	TC2N	BMP6	SMAP2	MFF	LOC711212	TPP2	LOC712644	PSAT1	PSMB9	MAPK11	ROBO1
ZMYM6	GCG	SDAD1	PRSS35	CRHBP	LOC100424932	LOC696005	LOC711448	CCDC101	TMEM30A	PDXK	LOC709665	TMEM55A	NMT1	SSH1	MSRB3	UHRF1BP1L	LMO2	MED13	LOC720005	XCL1	CCDC59	LOC100423211	LOC696742	CD74	CDKL3	ASAP1	SOCS2	LOC716168	LOC695826	RPS6KB1	LOC100423404	MEGF10	CLDND1	ZNF365	LOC704173	EIF3I	CNN3	LOC100427012	CORO2B
MTSS1	PHKA2	C1H1orf21	AKAP2	TMEM171	EHD3	LOC705639	DDT	LOC696008	RUSC2	LMBRD1	LOC100428596	RNF135	INPP5F	GALNT3	SERINC1	LAPTM4A	KCNK17	POGZ	MCM3	LOC704382	ATP1A2	BCAP31	LOC100427799	KIAA0586	RAPGEF5	PIAS1	JAG2	WWC2	UBA6	CHCHD2	LOC717769	RNF175	ATP6V1G2	LOC717528	NUB1	RFWD3	PLEKHA2	TMEM104	GPRC5B
HSDL1	LOC719898	CPEB1	LOC706590	RNF150	SNCG	EXOC3L4	LOC715950	SLC6A12	CAPRIN2	ADCYAP1R1	SORBS2	MOG	MIB2	RNF14	CBLN3	LOC706007	C20orf46	CNOT7	HS3ST2	LOC721484	LOC695887	AIM1	TMEM161B	AKAP10	TRIM6	RRN3	PTGFRN	PTPN3	LOC694656	DBX2	LPPR1	LOC711252	C1H1orf95	SLC24A2	SLC17A8	SPRY4	LOC100423826	ENOSF1	FAM98A
PNMA2	NUDT4	SAMD8	SLC19A2	GSTM3	GADD45B	CPT2	ARL4A	MFSD1	CSPG5	LOC100425198	ENTPD1	UBXN11	NEFM	LOC100429414	SPATA18	PUS7L	KCNIP2	PSMB10	AKAP2	AMPD3	BIRC6	CRADD	RASGRP1	ELMO1	LOC716604	LOC697760	LOC100427444	LOC100424015	KCNS3	LOC713644	PDGFRB	SLC7A9	TRAPPC1	LOC709300	SNTB2	KCNA6	KLHL32	LOC708874	LOC709517
PHACTR1	HADHA	LOC694136	ROR1	LOC718634	LPIN2	LOC721163	MCM4	ABT1	LOC694136	LOC715018	RNASEL	RGMB	SVOPL	ZNF536	LOC713492	PRMT3	LOC720563	CENPJ	CNTN5	SPRY4	GJC2	ABHD6	OGFRL1	ELK1	LOC697925	FBXL3	LOC100425699	TMEM63A	VEPH1	LYZ	LOC714658	LOC722074	FKBP4	ADM	LIMA1	SPTB	HMGCLL1	PLEK2	HEXB
FAM172A	PLGRKT	SRGN	KCNJ2	LOC100426549	HECW1	LOC100424714	LOC721829	DUSP4	TMEM200C	TTC33	AIFM3	PRDM5	FAM81A	MPP6	C13H2orf76	ARMCX3	CMTM5	JAKMIP1	LOC695100	VPS4A	KDM5A	MAPKBP1	OPALIN	IMP4	NDP	LOC721855	LOC710818	CPE	LRRC39	PABPC3	ELP6	CHUK	MPP6	RANBP6	WWP2	ANXA6	PRMT6	SPTAN1	TIMM8B
