E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
LOC695886	ACTN2	MRPL10	DZANK1	RUNDC3B	ZNF526	PTPDC1	C2H3orf80	PRDX6	CARS	SLCO4A1	ARID3C	GPSM2	UBA3	PTEN	DNAI1	FAM69A	POLR2C	KCTD12	SHANK2	SH2B1	INTS4	LOC696657	NET1	BCL7C	LOC100429504	SCN2B	KCNV1	PAK3	HSPD1	LOC708096	LOC718339	LOC697825	FAM49A	CHD3	AGPAT3	PTAR1	STARD10	LOC702072	KDM6B	POU1F1	DTX3L
LOC710713	IDO1	RIN1	LOC707129	LOC713493	AP1G2	HEBP2	TRIT1	DNAJC6	WFDC10A	PI4KA	ARHGEF10L	NDUFAF2	ATP2B1	ORMDL1	TOMM70A	SYNGR3	MTDH	CAPG	SLC4A10	CNRIP1	LOC712938	LOC698286	ZNF92	FAM89B	CACNA1D	KBTBD11	LOC100428458	CDCP1	YBX1	C10H20orf27	LHX6	HUWE1	LOC100424543	MPHOSPH9	E2F5	PLXNA1	LOC707948	MAPK8IP2	LOC714291	ZNF828	LOC703155
GPX8	RTN1	OSGEPL1	JAG2	C14H11orf49	IKZF4	RFTN1	PSEN1	KCTD2	LOC713579	IL12RB2	PCOLCE	LOC719346	GGH	ZNF160	CLN6	NDUFA4	PSRC1	CEP128	CACNA1I	NDUFS4	PFDN1	FOSL2	PLK1	FASTK	ADAM32	AKNA	PPP6R2	SEC14L5	LOC100423251	LOC713971	FAXC	FEM1B	ACOT9	LOC100429602	C19H19orf54	HDGFRP3	TMEM41A	KCNK12	B3GNT1	TRPS1	SNRPE
FAM116B	LOC100427660	GIPC1	AGPAT1	LMO3	KDM6A	TREM2	DCAF12L2	FZD3	RNF152	LOC100426570	LOC716728	GJA1	DMTF1	LOC716268	TYR	DRG1	RXRA	HCRT	EXOC3	ERP29	LOC714235	MKRN1	PMP22	MXRA8	IGFBP3	NUP50	FBXW7	HIGD2A	SOCS6	ITPK1	LOC100427949	LOC100428564	MTCH1	WARS	LOC100430015	HPDL	NRCAM	LOC703270	LYPLA2	CCT2	TFPI
LOC706570	LOC714862	ZNF335	ABHD12	MYO16	LOC708688	LOC696389	SMU1	TRIM33	LOC715535	GORASP2	ARF6	HARBI1	ATMIN	KCNQ5	PDS5B	CNOT2	THOP1	ACTC1	VEZT	SLC25A28	NDUFS8	LOC696475	STARD4	LOC715326	LOC100429311	LOC716777	LOC717671	ATP1B1	CORO1B	DRAP1	TM2D2	KLHL3	MAPK8IP1	BLCAP	PPIF	BCCIP	LOC696091	CASR	LOC100424180	DCLRE1A	PLCG1
EGFL7	LOC718775	DAD1	LNX2	MAP4K5	LOC719568	UGGT1	CNIH4	TMED6	PSMD6	VTA1	MYBL2	PAG1	ATF1	COX11	TOX3	TXNL4B	LOC717916	ALDH3B1	LRRFIP1	SF3A3	CEP19	CACNA1B	LOC710619	PIK3CG	SESTD1	GAD1	UQCRC1	LOC716385	LOC719403	NTSR2	PDHX	PHF8	NARF	ATP6V1B2	LOC699512	SDK1	GRIN1	TSPAN17	LOC705814	TOPBP1	MGME1
S100A10	JAKMIP1	LTA4H	PSEN2	ITFG2	COPA	F11	NRG1	ZNF235	ZNF274	CAMK2G	C10H20orf26	AXL	LOC100423084	LOC694919	LOC100424432	LOC710647	MICB	SBF2	LOC100428539	ZNF283	ITPA	RPUSD2	LOC713517	SEMA6A	LOC716408	IBA57	AP3B2	SLA	ZNF800	REC8	MLLT3	TNRC6A	LOC715577	LOC100427448	WDR75	KCNJ12	TMEM147	ZNF329	ST6GALNAC1	CNRIP1	GRM3
FDCSP	NEDD9	EMILIN3	IMMP1L	TIMM23	IGIP	PANK1	LOC714870	LOC708399	TRMT1L	WARS	ARID2	KCNA3	NOL12	ZNF84	ST8SIA4	PTCD3	RGS4	LOC706859	B3GNT5	MAPK6	MED19	LOC698615	SLC38A3	SSUH2	ARL6IP1	MRPS28	APOA2	LOC721965	PHKB	RPL26	MASTL	DEF8	NLRX1	POLR3A	LOC693884	MEGF10	IER2	STRBP	LOC700355	ENTPD4	LOC710179
LOC704837	ITFG1	RPIA	ACAN	LOC714749	ANO2	HLCS	VIP	CREBRF	ACSBG2	SLC35F2	LOC715526	ACOT13	LOC708806	TIAM1	OPTN	LOC695372	MYBL1	MYL5	DTX2	TOX3	FAXC	C2CD3	SKA2	LOC100426050	ZNF605	LOC709695	MAP3K4	GTF2F1	CD83	MIB2	ZNF354B	TOX3	DCTD	LNPEP	SLCO3A1	LOC721140	FHOD3	PKNOX2	CRKL	ABHD12B	TOMM20
MAP3K6	LOC696692	MUC4	LOC715455	PPP2R5C	CDC16	DMPK	MAEA	C14H11orf87	CLDN10	PKN3	VAMP3	S100B	LDLR	CHSY1	NUMBL	LOC694102	LOC701718	MAMDC4	ZNF346	LOC100431004	LOC100426570	LOC713460	INPP5B	PYCR2	TRIM37	LOC719578	SP2	NDUFC2	DPY30	ID4	CCT6A	MRPL32	DIABLO	CDK5	CPOX	HNT	GALNTL6	LOC721973	SLC25A28	LOC100429275	ITGAL
KIAA0101	PATZ1	COL5A3	SHOX2	SCN3A	RASL12	LOC693764	SLC39A7	MCAT	ASB5	LOC702540	LOC701612	TONSL	LOC706341	ZNF790	SEPHS2	KRI1	EAF2	LOC710423	PHYHIP	UNC13C	SERPINB12	DEFB1	LOC711421	LOC699332	ARMCX5	KIFAP3	BMF	LOC100429306	TTC8	LOC718478	IPMK	TMEM8B	ACOT7	TCEAL1	HIGD1A	TFPI2	KIAA1409	HUWE1	LOC709652	LOC717368	STON2
LOC719214	LOC707815	NCK2	MGAT3	LOC701621	ADAMTS2	LOC719415	HNRNPA2B1	LOC719564	SOAT1	LOC718901	LOC713322	MAP2K3	ZNF721	LOC719693	DZIP1L	LOC722074	LOC722516	TUFT1	LINGO1	CTBS	SPTAN1	ZNF560	RGS16	GCDH	KLHDC5	FAM5B	COPS7A	MBD5	DCUN1D3	ITGAL	SLC36A4	ODZ4	ARHGDIA	LOC700659	PSENEN	CPA5	LOC718946	LOC709275	BSCL2	NEURL1B	LOC100429683
CSTB	COQ5	PTPRT	GLCE	RNASEH1	CX3CR1	CDK14	SOBP	LOC100424302	KPNA6	PLK3	CCNL2	LOC718263	KDM2B	BAHD1	LOC100426044	BCORL1	ERMP1	PROM1	EBNA1BP2	LOC708585	VPRBP	PSMB2	LOC100424564	DGKZ	MYNN	LOC705519	LOC706629	NUFIP2	LOC697030	SDK1	LOC695887	LOC706896	PLDN	LOC694924	BBS10	KIAA0182	ZFYVE1	GID8	LOC714876	TREM1	HUS1
SOX8	TMEM136	PRPF18	LOC717761	MOCS3	PLAGL1	SORCS3	PCMT1	TRNP1	MAP3K2	FAM163A	SEMA4C	LOC709290	PLS3	FXN	CCAR1	SCAMP1	GPC4	ISG15	MTMR6	PSMG2	ZFYVE9	LOC717686	PARVA	LOC714601	UBE2O	ZWINT	LOC100425518	LOC697227	RAB7L1	LOC706961	LOC100425961	FRAT1	LOC100428139	UNC13A	PPP1R36	PRR15	LOC695210	BUB1B	ENTPD4	IRAK1BP1	NOL3
GTF3A	INA	SEPW1	BCAP29	RNF175	LOC722126	LACE1	FBXO28	PUF60	GFM1	GTF2F2	MCM7	TIMM9	LOC705226	LOC704516	TLE3	LOC713788	ZBTB25	CPT2	ZNF567	MAPK10	LOC712221	EIF2B3	SAP18	LOC717315	EDEM3	TMEM44	KCNC2	IRF2BPL	ANAPC13	LOC714084	MYO5C	FAM43A	NOC4L	LOC694919	C5orf35	DLG5	COPS7A	ZNF408	SLC4A9	DNAJB9	LOC100430130
GREB1L	WBP5	ECH1	EID1	STK39	FAM210A	SNX11	TAX1BP3	KCNAB1	ZNF420	LOC704041	DSCAM	COPZ2	MATN1	WDR47	C20H16orf59	DNAJC7	LOC722863	NLRC5	ARL4C	SYNE1	MAP3K12	NDUFAB1	IGSF6	LOC695968	AUH	METAP1	LOC699057	RSF1	DDX3X	MC4R	UPF2	MCOLN2	OLFM1	BCAP31	ACTN4	ENTPD1	PAM	DZANK1	PFDN1	CCDC82	PTPRK
TONSL	AATF	PELI2	LOC714862	PLEK	PLS3	ZNF33B	FBXW8	STOML1	TAF5	COL6A2	TNKS1BP1	RPS27A	EBLN2	GPR180	HOMER2	MAPK8	LOC702855	CHD2	LOC695038	LOC705767	USP7	RHBDL1	NRAS	ZNF192	FAM113A	RMND5A	MPHOSPH8	CLASP1	C19orf50	UBXN1	SEZ6L	MED23	RNF208	RCAN2	ZC3H4	WEE1	NDUFA8	PVRL1	ZNF799	SFXN4	LGR5
LOC707738	LOC706419	LOC707118	PPM1J	FBXO15	BTNL8	FBLN7	GNPDA1	SMAD4	PNPLA8	LOC717124	LOC100431069	LOC714026	ZPBP	MRFAP1L1	PANK3	CAST	LOC701052	ISOC1	TRIM46	EPM2AIP1	GTF2E2	GAS6	LOC716777	SLC4A3	TBX19	LOC716074	CPA4	RRAGA	LOC699570	LRRC17	KLHL26	HK3	GTPBP1	LOC706393	RNF19A	DACT2	EMG1	FLAD1	KCTD9	ARHGEF7	NKIRAS2
ALG3	FIG4	KIDINS220	ZNF229	ZRANB1	UTRN	CPSF4	OXA1L	PSMA2	PUM2	TMEM194B	ADCY7	LOC695685	DNAJB5	KLHL20	ZFAND2A	SENP7	CLCC1	PHF16	PNMA3	ELL	MPG	COPS4	NOTCH2	SLC29A3	SV2B	NSF	PDRG1	PRKACA	ASXL2	LOC718353	LOC695359	SLC6A13	ATG16L1	GFOD2	HEATR2	RNASE6	LOC721611	UBL4A	LOC721106	FOSB	ZBED3
EEF1G	NT5C3	LMBRD1	HINT1	LOC696878	USP45	FAM162A	LOC700582	BOLA1	LOC721528	MYH13	FZD4	ROBO4	LOC697794	CNOT7	PRR3	RNASET2	LOC717027	LIPG	GAPVD1	LOC717761	MED22	CAPN1	MFSD1	NOP9	RNF113A	HRH2	ST6GAL2	LOC100426875	SRGAP1	FPGS	RALGAPA1	CACYBP	KLHL18	COL12A1	TMEM168	LOC722120	CDK7	NR2F1	DMRTC1	SLC25A22	POLR2F
ZNF385A	MOSC2	EIF4A2	C7H15orf61	JUN	ADAMTS7	FOSB	FRS3	TSPYL5	PLEKHA1	F2RL1	PRRC2C	LOC721833	MLH3	ENDOU	ITGB3	WDR82	RHBDL1	NKX2-2	LOC694702	RSL24D1	LOC721508	UHRF1BP1L	SLC50A1	RASL12	SOHLH2	GGA3	RAB9B	OPN3	OGFRL1	GMNN	METTL1	MAP2K4	C15H9orf3	LOC719201	ALX3	RAB32	LAMC2	LOC100425126	USP11	LOC715864	XPO6
ZCCHC4	CRY1	AQP3	GABRA2	LOC714325	TLCD1	LOC712710	KCTD21	RASGEF1A	SLC35E3	SRGAP1	UCP2	LOC714721	USP49	ZW10	FBXO11	RNF103	CDH18	TMEM43	LOC696918	LOC713262	BEND5	TRIM37	LOC721215	CHD3	DNAJC13	KPNA5	RAB14	IDH3B	SOX2	MAPK12	HOMER1	FKBP2	BCS1L	HECW1	DBR1	ESM1	GABRA4	LOC708964	SLC38A7	NOD2	TCF7L1
PACSIN2	RNF103	LOC712361	LOC713138	C3	ECE2	MGMT	MRPL20	SRM	NECAP1	BAI1	FOXN3	SERTAD3	LMAN2L	EMX2	LOC100426630	PSD2	LOC696008	LOC717315	LUC7L2	LOC721397	CSNK1A1L	EXOC3	MBOAT2	IGSF6	CSRNP2	LMO3	SHMT2	AASDHPPT	LOC712835	PACRG	LOC100426593	LOC100430437	LOC721470	ARHGDIG	IDE	FOXN3	LOC100427949	SLC22A17	ACVR1B	ACP2	MPST
PLAGL2	COX7B	ANKLE2	ERBB2	LOC701612	LOC711490	ITGB8	HOXA2	ZNF667	CEP57	ZNF678	KCNJ1	LOC711009	ABI2	CLPX	AK5	C9orf125	LOC100428498	SGSH	PPP2R2D	LOC100429880	HRH2	ALKBH5	SLC40A1	WWP2	INO80E	UBE2K	NKD2	LOC717075	MAOB	CXCL12	TSFM	GK	LOC722368	SMPD3	MIPOL1	SLC7A1	GPC1	RNF208	TRNP1	RSF1	ECH1
FIGN	OLFML2A	KCNK5	FAR1	LOC696186	LOC717999	MYL5	LOC718532	SUPT5H	LOC100423442	CCDC91	SRGN	CBX5	KLHL18	LOC707650	CSGALNACT1	EPHA6	LOC713517	DOCK10	LOC709275	MFAP1	ARHGDIG	LOC696417	GNAI2	GDPD2	POLR3A	LOC709008	LOC707457	NOL11	MMP28	ZAK	AGR3	POLB	ANKRD13D	LOC100427527	EVC2	IFIH1	GLYATL1	HNT	ZNF804A	LRRFIP1	GLI3
KIF15	SLC35F5	ZNF740	EDEM3	LPHN3	KCNA5	GPC4	COMMD5	LOC700335	SLC35F5	LOC711458	GPATCH8	MAF1	SLC35B4	STAM	EFHA1	MARCH4	AKR7A2	RAB11B	KBTBD11	ZNF514	C19H19orf25	KCTD7	ARHGAP23	GPR125	RABEP1	XPR1	DUSP3	BECN1	LOC699332	EDNRA	TNRC6C	ZBED4	CRMP1	LOC100427629	CDC16	LOC710441	KIF2C	LIN7A	SCRN1	LOC705537	LOC706585
ARRDC2	LOC712888	NDUFB6	LOC697661	LOC713730	COL6A2	KDELR2	SLX4	MEX3C	PRKAA2	DUSP13	LOC702025	LOC715923	PGRMC2	ACTR3	LOC709604	LOC695266	NUDT3	LOC713616	WDR41	CDK5R2	NEO1	SRP68	HIBADH	LOC694135	MCART1	LOC100425987	B4GALT7	ATP6V0B	EPS8L1	DLGAP4	EHD3	PKD2	LOC702519	HAS3	AKTIP	ZNF850	POLDIP2	FAM193B	CLASP2	PTPN5	C4H6orf52
ACAA2	CCPG1	MNAT1	STX7	LOC709098	LOC718628	STON2	CDC123	EXD2	MED27	IQSEC1	TGS1	GNA11	ZXDB	HSPA12A	LOC707815	SAR1B	TOR2A	TMCC2	FASTKD2	LOC100424692	PUM1	ACP2	MAP3K6	DGKD	BSCL2	PLAU	HYDIN	TTC33	LOC100428826	LOC100429858	LOC100426432	TMEM151B	C7H14orf142	MIB1	COX4NB	SMTN	LACE1	CNKSR2	SYNRG	DPYSL3	LOC719750
MEAF6	AP2M1	PRR3	NDUFAF6	IDO1	CSGALNACT2	LY86	MFSD5	PPP3CB	TM4SF20	FAT4	LOC722170	SIRPA	LOC708940	LOC709315	LOC698057	MOSPD2	KIF18A	CSPG5	LOC713398	CYP1B1	LOC716833	LOC100427724	COPE	KIF5A	SERPINI1	ATP5D	EMX1	PARD6A	ATP8B4	LOC704348	MRPL50	ATP6V1B2	RBM4	KDM5C	FGF2	TRIM22	PDCD2	DCT	DNA2	TCP11L1	BRP44L
HBB	RABGGTB	RDH14	GSTCD	ZNF142	DHX38	ILDR2	UBA1	ZNF274	HS6ST2	CLEC18A	LOC721516	LOC100425851	AKAP2	NDUFS1	RAD23B	ANKH	AKAP13	ADORA3	MYOM2	LMO7	LOC715436	NRBP1	LOC708205	CD86	LOC717546	MRPS7	MMS19	POLD1	IGSF1	ANKRD10	JMJD8	LOC100424067	LOC704219	LRRTM3	LOC697397	LOC100426447	KLHL23	LOC715731	DUS1L	SCFD2	SNRPD3
LOC100429504	PEX26	EDEM2	ZFP3	HCN4	PPIF	LOC696673	STOML2	NDUFS8	TSPAN17	GSTO1	PPIF	STOX2	ZNF238	LOC100425019	LOC720093	ABHD13	LCA5L	MEIS1	PPP1R2	CDK14	MAEA	FAM131A	SMC4	MAML2	FAM8A1	CRY1	DCHS1	LOC722126	LOC712219	GALNTL4	FBXO28	LOC696956	MAGED2	PCDH7	CPNE3	PIGS	LOC100429212	SERPINB1	SNX17	FBXO11	MAP3K3
ATF3	LOC703114	RGS22	SEMA4A	VPS35	DIO3	URM1	LOC706982	FAM57B	PRDM15	MARK4	ATPBD4	LOC707129	GPR160	UBL3	HSPA14	STRAP	LOC100425633	IDH1	UNC5C	EDEM2	LOC696205	LOC716932	NUMA1	ABHD4	LOC715323	LHX6	RHOT2	ANKRD6	MFRP	CHMP1A	KLHL34	WDR82	NECAP1	NDUFC1	LOC713976	ALCAM	LOC709215	DCLK1	CDK5R2	YSK4	ZNF829
LOC722516	TOPBP1	SLC31A2	LOC704044	NAP1L3	LGALS1	AKR1C3	LOC695968	LSM4	LRRTM2	ARHGAP6	CBL	FSTL5	DNM1L	PPP1CB	CKAP5	UBXN7	LOC100426831	LOC714951	YWHAG	CIRH1A	LOC693405	LOC699910	TGIF2	LOC703830	SLC4A3	LOC703488	PAK1	LOC710345	DERL2	SSH1	WDR47	LOC709186	TP53BP1	TRIM37	C4H6orf225	KCND2	LOC100425851	SLC22A6	PPP3CB	LNX1	CD63
ITIH2	LOC709838	C9H10orf2	GADD45A	NAGPA	RBM47	AASS	POLR1C	SRSF3	LOC712687	NTN1	PHTF1	LOC722367	ACAT1	ARL6IP5	LOC704048	FAM110B	LOC100428661	TOM1L1	LOC722397	SLC25A4	GOLGA2	RUNX1T1	YTHDC1	LOC100430565	SNAPC5	LOC708668	LOC707293	LOC711526	ZSCAN16	NOS2	LOC100426317	DIAPH1	RELL2	C20H16orf13	MANSC1	TFR2	PIM2	BNIP1	LOC696918	CLIP4	RCBTB2
LOC706349	SUGP1	DOPEY1	PIK3CB	KLF1	TLE1	PTGS1	MRFAP1	LOC701147	ARL1	CUL2	LOC711108	C14H11orf31	ZCCHC14	C13H2orf40	LOC710882	CLUAP1	RPL10A	SEMA3B	KIF3C	KCNAB1	MCRS1	ZSCAN5A	TCIRG1	TTLL4	KIAA1310	C20H16orf70	IFFO1	AARS	CHMP1B	LOC717585	ARNT2	FAM13A	CNTNAP1	LOC100428661	SPATA24	CCND1	LOC100425664	NCALD	IARS	IFNGR2	PROM1
STAC	ADO	FAM57B	ARSJ	RTN4R	PDE4D	TRPC5	CAMK1	LOC100424235	LOC718340	SEMA4G	LOC694100	FCGR2B	NCBP2	LOC716524	PCNXL2	LOC706899	SSNA1	CEP55	NHEDC2	SPATA2	USP6NL	RNF126	SLC25A21	TDO2	SLITRK5	SNX13	PRICKLE1	LOC708585	KIF1C	LOC708688	PHB	B3GNT4	DCUN1D3	LOC710837	CEP44	IGFBP5	C7H15orf61	NDUFA4	NCKIPSD	LOC100430639	ZNF43
ALDH3A2	GREM1	AATF	TATDN1	AATK	CD69	TOX3	DDX23	CLPX	BLOC1S2	KIAA1524	CAPN3	NFIC	EIF3D	CLCN4	LOC703889	XCL1	LASS3	NEDD9	PNMA1	TTC13	CHST2	GRLF1	TLR4	LOC709660	MEOX1	LOC704003	GPR155	CD300E	NAA16	F11R	GRIP1	ANXA7	LOC694136	SKA3	DCAF12	PRSS12	ATP9A	CKAP2	LOC100428592	RAB14	FBXO4
YTHDC1	AGGF1	LOC715029	LDLRAD4	LOC715193	LOC716922	OCLN	PRKRIR	RBM4B	AVPR1A	C9H10orf90	PPARD	STON2	ZNF445	UNC13C	LOC100427307	KIAA1244	LOC704750	MMP2	FZD3	UNC13A	RAB6B	DNAJC19	SLC1A5	WWC1	ACVR1B	PSMD12	AIMP1	PPPDE1	GPBP1L1	LOC707650	KATNB1	LOC712690	INPP5J	LOC709161	RPS13	P2RY12	IDH3G	CEP76	LOC697825	DUSP26	LOC713477
ZC3H13	FAM58A	ASTN2	IPO11	PLD6	ZNF829	LOC703827	GRLF1	OSTF1	ZNF800	LOC697592	LOC703544	MRGPRF	NUDT21	CDH12	LOC717766	HS3ST1	LOC710177	PLCH2	ZNF674	LOC100425846	HSP90AB1	PMM1	ZNF345	ADAM8	ATP6V1G2	TBR1	GDF10	HBS1L	PDK4	LOC709320	LOC701559	YIPF5	CATSPER2	LOC678699	MAML2	FAM78A	LOC713335	CELF1	LOC721886	LOC694310	LOC701572
LOC694878	LOC697881	LOC708898	LOC709969	SOBP	THUMPD3	SERTAD1	MRPL47	TARBP1	MEF2C	KLF15	SEZ6	LOC705636	WNT5A	ZBTB44	ITFG1	RPS6KB1	NPTX2	HEXB	LOC705519	DAZAP1	AVP	LOC719983	GAS6	SSBP4	LIMD2	MST4	LOC700039	LOC695959	TUBD1	FASTK	LOC100429112	POGLUT1	LOC100430777	TAF1A	LOC700629	LOC711485	LOC722628	LOC100424721	GMPR2	ARHGAP32	OSBPL1A
GHRH	CWC22	CTPS	P2RY14	ZNF512	ABCB7	EVC2	HIP1	OXR1	LOC704960	CHRNE	LOC714427	MYLK	SUV39H2	LOC100429204	RAB3A	LOC711416	U2AF2	CPA4	TMEM132A	MAP3K4	CDH11	AIMP1	UNC5C	CLEC4A	GPLD1	LOC100427368	CASKIN1	SHMT2	POLR2F	NT5C2	OXGR1	LOC100428010	CASKIN1	LOC699214	POLE2	LOC710551	POMT1	HMMR	BCL7A	DOCK9	LOC718812
SLC1A5	CDC14B	TRNP1	DEPDC5	LOC100425161	PCCB	SP4	PTPN23	LARGE	WDR59	ADAL	MYL6	ELMOD3	CYB5B	LOC705622	ABCA7	SNAPC5	NPAS4	CDK4	NEURL1B	ZNF662	LOC705656	SLC25A22	CCT6B	ITPK1	PAQR3	PHF14	C16H17orf62	RNF6	CD63	CARHSP1	CNTN4	PICK1	LOC717671	LOC720040	TRIM68	IRAK1	SLCO4A1	FAM222B	LOC100424724	GDF5	SOX9
SH2B2	ABT1	CGGBP1	ALOX15	LOC710702	MYO1F	STK17B	GTF2E1	RCHY1	PKNOX2	UPK1B	GPR124	LOC716862	ZNRD1	GNE	LOC721131	ZNF599	SLC39A13	KHNYN	LOC713213	RTFDC1	MMD	BTBD1	NT5C	TRAF3IP3	PNMA2	LIN9	LOC718326	SPAG4	NAA35	LOC708206	RBM23	MRPL52	TMEM205	JUNB	MDM4	MCM5	SKIV2L	KIAA1967	LOC100428434	LOC100424692	RYK
PRKCH	PHOSPHO2	LOC720298	GALNT5	LOC100425608	LOC708235	KIF3B	MBTPS1	NCOA5	SLC25A4	LOC709665	SLC9A9	INSL6	LOC714727	C4H6orf136	NCAM1	LOC705659	MRPL55	LOC697523	ATP6V1A	LOC715341	LOC709469	LOC703247	GAB2	ATG2A	AADAT	SEMA3F	LOC711817	OGDHL	PPWD1	LOC719183	LOC705985	C4H6orf47	RSPO2	IDE	TMEM59	LOC700355	CCHCR1	LOC715018	LOC713582	NR4A1	THAP8
ZBTB7C	LOC717612	ABCB6	LOC719614	LOC720005	STOM	MICAL1	ZNF828	BAI1	HELQ	HECW1	INPPL1	LOC707995	BTBD9	PDS5B	LOC704395	ALG2	SDCBP	LOC708451	CCDC122	MCTS1	CAMK4	LOC693476	SCLY	ANKRD9	HEATR5B	CARS	LOC718872	OCIAD1	ZNF642	MAGED4B	ZNF420	LOC100430376	TPM3	LOC719873	BCCIP	LOC712600	G0S2	RAB9B	LOC716854	LOC100430276	SMO
ALKBH7	LOC100424341	LEPROTL1	LOC100426932	RSPH1	FBL	C3	LOC100424500	MSI1	PRCP	LOC721211	ATP1B4	NOL6	ZNF430	DIS3	PAFAH1B2	ELL2	DHRS7	LOC709065	PCID2	RAB9B	NLGN4Y	UNC13A	TTC25	LOC698043	THBD	SLC45A1	ACVR2A	YEATS2	HAVCR1	NACC2	LOC717055	CRIP3	DLX5	ADO	EXOC2	DGKG	LOC100425987	LOC100429973	H1FX	GUCY1A3	OSBPL11
MPPE1	RFXAP	TRAPPC3	PCDHA6	SPINK2	LOC701872	ZAR1	LOC718634	LRRC49	IKZF4	ALKBH4	SLC16A8	POLA2	LOC708258	EXOC1	FGFR1OP2	LOC721973	GCDH	FAM105B	ELP3	PSMD1	NOMO1	LOC100425824	DCTD	PGS1	CMAS	GMPR2	SYT1	PFKM	SBF2	ATHL1	NRSN2	OLA1	LOC717910	PDE6B	MX2	PCDHB6	LOC704166	LOC100429328	NAPG	STK24	TMOD4
DCTN2	PPFIA1	GAN	LOC100428114	DISP1	HADHB	ROMO1	MIOS	HCCS	KDM1B	SERPINB2	LOC712618	PMAIP1	USP16	TXNDC11	SLC25A12	RCAN1	TRAF2	LOC695164	AKR1E2	LOC711599	CECR5	DSEL	BTBD7	LOC701052	DLK1	ELL2	LOC706468	GTPBP2	CALR	LOC704960	LOC715163	CCT7	SNPH	FBXO32	HAUS2	C1QTNF1	UBL4A	KDM4A	LOC712088	CCRN4L	FZD6
PDCD11	LOC714068	NDUFV2	LOC708599	ARL6IP1	FOLR1	NEIL3	LOC719551	SALL2	CEP76	ACSM1	LTB	RANBP1	MNAT1	STARD4	ATP9A	DHX16	KIAA0101	MMRN1	KCTD15	RELL2	NOSIP	TRIM9	PPM1B	PON3	ACOT7	LOC100427480	LOC100431070	ZNF23	LOC699864	LOC715236	NRP2	PAG1	AGBL5	BAG1	ZNF594	LOC714084	LOC697825	SF3B2	APBB1	TOP2B	FAM189A2
LOC710177	PARP8	MRPS25	C3H7orf45	SLC25A45	CENPC1	TBC1D16	LRFN3	SSBP4	CEP170	LOC709826	ANKS6	DAPK1	HNRNPL	GDAP1	C3H7orf61	DEFB122	TMEM125	LOC697403	DR1	LOC100429989	LOC699459	ZNF354B	COL4A6	CHST1	ZC3H6	MAGEE2	LOC698801	FOXP1	CYBRD1	PIP5K1B	LEPROTL1	DCAF4	LOC702153	FLVCR1	TMEM187	RASSF4	AVIL	LRRC2	ARPC3	MEIS2	SSH2
LOC721291	VLDLR	RFWD3	RPL26	C9H10orf90	LOC701978	LOC100423656	PARG	LOC715018	SLC25A12	EYA3	LOC709484	DNAJC1	EXOC6	SLC22A23	TPMT	KCNJ13	HSP90B1	GATM	NUP50	ATL1	POLH	FARP1	EEA1	ADRB2	TCIRG1	FEN1	ZDHHC14	ICAM1	LOC713711	P2RY1	LRRTM1	RBM44	EPM2AIP1	FAM190B	MAP3K1	GIMAP8	GPR22	TSPAN13	LOC716409	SRD5A3	HEPACAM
FPGS	GPC5	LOC701728	CTBS	TMEM185B	ENO4	UROS	DCBLD2	THRA	REV3L	NTF3	LOC716604	VWA1	CCT6A	RGS11	UBE2F	SAE1	PET100	DNMT3A	KCNF1	RNASEK	LOC715688	LOC717818	PRKACB	MYO6	LOC694924	C3H7orf45	FRAT1	LOC695458	TMEM176A	LOC701494	VIPR2	SPAG6	ELL2	FKBPL	PIGG	CCDC80	LOC704858	ANK3	NDUFV2	FBXO15	LOC722589
MAN2C1	LSM5	AGR2	SGSM3	ARHGAP23	LOC717514	LOC721917	MRPS33	TEX264	PEX1	ZNF227	PLCL2	ITM2B	TMEM57	PEX1	PPP2R2D	C1GALT1C1	LOC696004	LOC717769	VPS26B	LEPROTL1	NPPC	MOBKL3	SP1	LOC703400	ATP2C1	CPOX	LOC715175	LOC719429	PHF10	TREML1	SV2B	DGKA	SLC7A13	GOT2	FYB	CRH	B4GALT7	SPAG1	SF3A3	COL12A1	TMEM185B
EPS8L1	APLP1	LOC721848	USP43	LOC708964	SRSF9	NCOR2	ISCU	LOC711305	STMN4	UNC13C	FMNL2	GBP2	KIAA1826	CNKSR2	LOC704994	GLRX3	NEDD1	SDF2L1	SV2B	DNAL4	LOC697825	E2F1	KIAA0232	UHRF1BP1	VIPR2	LOC719538	LOC722137	ATP13A2	LOC698787	EDEM1	ISCU	SEZ6L	ZFPM1	SGTB	ELMOD3	LOC712662	ANKRD9	MFF	PRPF3	CSNK1G3	GTPBP8
