E80_L1	E80_L2_3	E80_L4	E80_L5	E80_L6	E80_WM	E90_L1	E90_L2_3	E90_L4	E90_L5	E90_L6	E90_WM	E120_L1	E120_L2_3	E120_L4	E120_L5	E120_L6	E120_WM	0M_L1	0M_L2_3	0M_L4	0M_L5	0M_L6	0M_WM	3M_L1	3M_L2_3	3M_L4	3M_L5	3M_L6	3M_WM	12M_L1	12M_L2_3	12M_L4	12M_L5	12M_L6	12M_WM	48M_L1	48M_L2_3	48M_L4	48M_L5	48M_L6	48M_WM
CYGB	BBS2	AGPAT4	NFKBIZ	RGS6	LOC722397	ERBB4	SLC27A2	MICAL2	SLIT2	GFRA1	INHBB	HNRNPA1	LOC708067	HCN3	LOC678699	LOC719943	SOX3	RPS15	LOC701270	MYH4	AMIGO2	MMP1	CD44	LOC721855	CEP72	MATN4	LRRK1	MCTP1	HOXD1	CLDN10	LOC708067	ASB5	MAB21L1	SCGB3A2	ELOVL1	JPH2	ZNF184	CLEC3A	LOC694038	CYR61	ADIPOR2
ZIC2	TMOD1	COX10	AHR	PRICKLE1	DPY19L1	COL1A1	CTPS	RASGEF1C	USP43	PACRG	EFS	DIO2	NSMCE4A	PDLIM1	FNDC3B	EFNA5	GJB2	RAMP2	LOC100425161	MBOAT1	AQP3	DTL	ELOVL1	COL1A2	ASXL3	C7H14orf1	WNT6	NPY2R	NEDD4	KREMEN1	TYW1	ST8SIA4	LOC712288	FILIP1L	WNK1	COL6A3	NPR3	STAC	GRM8	KRT1	LOC716237
ALDH1A2	LOC694702	LOC698649	CNTN5	UGP2	MOSPD1	SH3RF1	MAN1C1	AHR	SEMA3D	NGB	GLI3	IQCE	GCA	LOC100424015	LMO3	ADAMTS1	CMTM5	EGFLAM	LOC696987	PRRC2C	LHX9	NEB	LRRC8D	KREMEN1	SCGN	ATP8B1	PDE1C	IL13RA2	ITGA2	OAF	TPK1	CENPF	SLC26A4	CYR61	CPM	SLC6A13	WFDC2	NDST4	FXYD6	FILIP1L	LOC697095
LOC100426279	PIK3C3	AADAT	TOX	KCNK1	NR0B1	DCN	LOC709287	LOC714346	NEK2	PAPPA2	TMTC2	COL1A1	THSD7A	CD69	DGKG	PLK2	MLN	ABCA9	PDLIM1	C7H14orf1	BFSP1	CD40	EFHD1	ZNF219	RASA3	NKX3-1	MAB21L1	LOC708263	LOC715193	ADCYAP1R1	NPR3	DFNB31	DRD5	SPRY2	LECT1	LOC722912	LOC717624	TMEM215	N4BP2	MAML3	TBC1D12
PROX1	TMEM168	PTPN3	LOC696317	GREM2	SEMA3C	DLX2	TRAPPC4	NPY	CSGALNACT1	STARD13	HK2	KRT12	TICRR	CARD10	ASB5	LOC698852	NKX2-2	TGM2	BCL6	STAC	TMEM201	LOC722327	LOC697570	PLN	TMEM108	LOC709920	LOC693620	LOC716567	SEPSECS	LOC100423109	RNF175	LOC696152	GRM8	LAYN	ENOSF1	ZNRF3	BATF	UCN	TOX	CLDN1	ST6GALNAC3
SLC32A1	EPS8	TAC1	FAM84A	NR4A2	LOC718331	F13A1	MLF1	CDH6	CTBS	LOC704750	DPY19L1	LOC100428359	GPR64	PCDH20	PDE1C	LOC714876	CNP	RPS25	LOC100424549	OTOR	RBM20	PAPPA2	TP53INP2	IGFBP4	LOC100424400	ST8SIA4	DNMT1	LOC696548	TMC7	MSX2	LOC693800	THSD4	DNMT1	LOC708263	LOC709340	SLC13A4	USP43	MATN4	SPINK5	MARCH1	SMIM5
MOB3B	PLEKHG1	LOC709463	AS3MT	PDE1C	NIPBL	PDZRN3	LOC100424015	CUL1	LOC696317	LOC100424360	LOC100423631	FBXO41	MYCN	CD96	TRIB1	HFE2	CLEC4A	MLLT6	DDC	KCNH8	PDYN	CLDN1	RRAS2	ROR1	SLITRK2	RBMS1	CAPSL	MYC	ELOVL1	LOC712536	CCDC47	IRF6	NTNG2	TDRD9	SHROOM4	EZR	CCDC47	ST8SIA4	EMILIN1	KCNK17	CLCA1
NES	ENPP2	LOC714346	BAI3	LOC713545	LOC693800	LUM	GLIS3	EPHX4	FST	CYP26A1	IGDCC3	SNPH	TAF5L	LOC574319	HDGFL1	STARD13	DLL1	C1QA	LOC700039	BHMT	NKX1-2	IRAK2	CLCA2	C8H8orf4	ARPP19	SMYD2	LOC695694	IL12RB2	ADIPOR2	FGD5	NEK2	SMYD2	LOC696983	SERPINB5	SLC45A3	OMD	TYW1	RASSF6	LOC712288	LAYN	IKBIP
PHF21A	LOC713335	SLC18A2	USP46	GABRA3	GRIP1	THRB	LOC100424654	LOC100426700	TSHZ1	PEX5L	CDKN2C	PGF	NXPH2	ABLIM1	UCN	PIK3C2G	MYO1F	LOC703120	LOC100425589	RUNX2	LOC703972	LOC716776	S1PR5	GPR124	CBLN1	CCDC136	BCL2L1	DTL	DUSP10	C8H8orf4	LOC695921	GPR6	CBFA2T3	LOC695023	SYNGR2	PHKA1	CYP19A1	PACSIN2	LOC706858	FAM117A	SEPSECS
ERBB4	TDRD7	ARNTL	LOC100429418	SESN3	SETBP1	LOC100428219	PLXNA2	PDE3A	LGR4	PTK7	LOC100425589	PPM1F	NRP2	LOC701085	CEP290	LOC716868	TXNIP	LOC720154	EDN1	PAM	LOC705659	FAM101A	LOC707625	GPC3	TWIST1	DFNB31	PDYN	LOC703544	CEP89	GJA5	HPGD	LOC709920	SORL1	SYT6	OFD1	ZNF516	GNA14	LEPR	LOC693620	ADAMTS19	ARHGEF37
