AMELY
CDY1
CDY2
CYorf15A
CYorf15B
DAZ1
DAZ2
DDX3Y
EIF1AY
HSFY1
HSFY2
HSFY3
KDM5D
MXRA5Y
NLGN4Y
PRKY
RBMY
RPS4Y1
RPS4Y2
SRY
TBL1Y
TMSB4Y
TSPY1
TSPY2
TSPY3
TSPY4
TSPY5
USP9Y
UTY
XKRY
ZFY
